症状a,症状b,label,index
尿胀,小便会痛,0,15634
尿失禁,小便吃力,0,3410
溃疡,龟头不痒,0,8821
龟头有珍珠疹,龟头掉皮,0,4887
脱皮,表皮红肿,0,11078
龟头有颗粒,龟头上有白色的,1,1297
尿有异味,有点分泌物,0,12718
精液有血,精液呈黄色,0,175
性欲减退,射精射不进,0,9762
尿道口流脓,白色尿液,0,12122
尿量少,一点血,0,3284
尿里有泡沫,老是想小便,0,732
阴茎有硬块,阴茎细小,0,12315
尿道口刺痛,小便有灼热感,0,3981
尿量少,尿涨,0,12328
阴茎增粗,阴茎静脉漏,0,414
阴茎撕裂,阴茎头痒,0,8347
增生,前列腺有点增大,0,3732
阴茎弯曲,阴茎水肿,0,8060
阴茎增粗,阴茎左偏,0,2110
阴茎增大,阴茎老是会硬,0,6432
尿有异味,小便的时候特别疼,0,4332
下体有异味,生殖器不疼,0,11577
龟头脱皮,龟头起小红疙瘩,0,11293
龟头有小痘痘,龟头没感觉,0,14345
尿浑浊,尿有点痛,0,1796
龟头出不来,龟头有点肿,0,11452
睾丸下垂,阴囊有下坠感,1,11607
尿道有点痒,尿道口有些红肿,0,4981
睾丸挫伤,睾丸小软,0,12838
阴囊红肿,睾丸越来越小,0,1068
龟头敏感,龟头下面特敏感,1,8338
小便出血,尿尿时疼,0,7099
阴茎有异味,阴茎变大变粗,0,12739
射精痛,射精无力,0,1656
钙化,白色阴毛,0,5500
前列腺疼,前列腺钙化?,0,7900
阴茎过大,阴茎歪了,0,13098
龟头敏感,?特别敏感,1,9408
精液像水一样,精液还发黄,0,9159
阴囊发凉,睾丸下垂,0,4976
性欲减退,射精快??持久性不长???小弟弟不够大,0,6246
尿无力,小便特别多,0,16051
龟头溃烂,龟头特别痒,0,15805
钙化,内裤有黄色东西,0,9080
龟头敏感,龟头肿了,0,8583
龟头红肿,阴茎勃起疼,0,8785
龟头有小痘痘,龟头发红脱皮,0,4141
小便出血,尿尿时刺痛,0,13733
龟头脱皮,龟头包皮肿,0,13431
睾丸挫伤,睾丸一侧疼,0,14327
龟头溃烂,龟头肿大,0,10125
尿道流白色液体,有白色的东西??特别恶心,0,16213
阴囊痒,大腿出汗,0,14916
阴茎增粗,阴茎硬起来一会就软了,0,476
长疙瘩,肉粒,1,3826
没有以前硬,硬度不错,0,3445
尿无力,腰乏无力,0,8570
包皮痒,包皮还长,0,11708
龟头脱皮,龟头溃烂,0,1139
射精出血,射精慢,0,11605
有点疼,局部疼痛,1,14221
龟头上有黑点,龟头铭感,0,5539
尿浑浊,尿有点红,0,9438
不射精,一插进去就想射,0,6298
阴囊肿大,阴囊有时会潮湿,0,10864
精液量少,精子发光,0,10652
尿道有点痒,尿道口不红肿,0,5112
阴茎有硬块,阴茎特别痒,0,7984
小腹疼,四肢疼痛,0,12354
阴茎短小,勃起有点困难,0,210
尿浑浊,尿尿尿道疼,0,4477
精液发黄,精子活力低,0,2410
精液量多,精液也少,0,4532
小腹坠胀,小腹也痛,0,1160
不射精,勃起了很硬,0,7973
没有以前硬,勃起也不好,0,15863
包皮红肿,包皮很短,0,15399
囊肿,有点硬硬的,0,2138
精液粘稠,精子活力弱,0,10959
包皮有点长,包皮短,0,8096
龟头敏感,龟头敏感神经敏感,1,4541
腰酸乏力,小腹微胀,0,8109
尿不尽,尿会分叉,0,6593
精液像水一样,精子变黄,0,3226
增生,前列腺不大,0,11131
龟头敏感,性爱很敏感,1,7760
睾丸萎缩,睾丸水肿,0,5289
阴茎扭转,阴茎越来越小,0,522
精子有颗粒,无颗粒,0,4737
龟头灼热,龟头神经损害,0,13709
硬不起来,性生活时间短射精快,0,2107
龟头脱皮,龟头上有小疙瘩,0,4212
龟头痒,龟头下面一圈肉,0,10373
尿道口流脓,白色的东西流出,0,14700
尿痛,尿尿时有点刺痛,1,4873
小腹疼,小肚子痛,1,13877
精液有异味,精子有异味,1,16073
小腹疼,太阳玄疼痛,0,2919
精液像水一样,精子像水,1,5709
阴囊发凉,阴囊积水,0,16219
阴茎过大,阴茎没有以前硬了,0,12512
睾丸下垂,睾丸有点涨痛,0,3682
尿痛,小便有异味,0,12518
睾丸萎缩,阴囊总是潮湿,0,13637
长疙瘩,水痘痘,1,10230
尿道口刺痛,尿道口有点红,0,15773
尿道口刺痛,尿道口发紫,0,5672
龟头结痂,龟头表皮破损,0,3479
尿浑浊,尿尿很少,0,12088
睾丸萎缩,睾丸一直发硬,0,6227
硬度不够,勃起困难?硬度不够,1,873
尿胀,小便发黑,0,10946
阴茎增大,阴茎侧弯,0,2676
粉刺,红色水泡,1,8681
阴茎疼,小弟弟疼,1,15012
尿分叉,尿尿时有点刺痛,0,7176
肉芽,长了一个大疙瘩,1,15608
睾丸痒,睾丸有点肿,0,10815
尿里有泡沫,尿尿老是黄色,0,12900
包皮垢,包皮严重肿痛,0,12204
尿道口红肿,尿道口发炎,0,4604
尿频,感觉好累,0,15914
精子成活率低,精子里带血,0,11025
龟头脱皮,龟头冠状棱,0,12392
尿无力,小便尿道有点痛,0,10485
睾丸痒,睾丸上有硬块,0,1194
尿道有点痒,尿尿有烧灼感,0,9248
包皮有点长,龟头有白斑,0,15564
龟头脱皮,龟头上有小红点,0,7724
包皮水肿,包皮上起了小疙瘩,0,6483
阴茎增大,阴茎勃起弯曲,0,7637
阴茎扭转,阴茎有点小,0,507
尿量少,瞌睡特别多,0,11859
龟头上有黑点,龟头冠状沟处有沫沫,1,10106
尿频,腰胀尿频,1,7159
性欲减退,射精速度快,0,15466
小肉球,起小泡,1,4104
输精管缺如,输精管痛,0,901
龟头敏感,做爱太敏感,0,10487
下面痒,大腿上有红点,0,4120
龟头有珍珠疹,龟头潮湿,0,3289
有点红,有点?痒,0,5811
龟头出不来,龟头没有感觉,0,10475
包皮紧,包皮口变小,0,7872
阴茎扭转,阴茎会痒,0,14413
睾丸有异味,阴囊下面痒,0,15729
阴茎疼,阴茎勃起困难,0,12523
硬不起来,勃起不缓,0,12646
包皮红肿,包皮裂开,0,5827
射精痛,射精痛射精无力无快感,1,9103
龟头出血,龟头发红,0,15641
龟头有红斑,龟头骚痒,0,6025
龟头有红点,龟头有小疙瘩,1,3119
小便出血,血精,0,15523
精液有血,精液有血为,1,11154
虚汗,胸闷,0,15327
硬度不够,勃起时间长,0,1057
小便出血,撒尿有血,1,5984
龟头出不来,龟头有粘液,0,9264
尿有异味,小便发黄,0,14954
阴囊有疙瘩,龟头上长了红点,0,12171
睾丸一个大一个小,睾丸红肿,0,5766
射精痛,射精有血?,0,10480
包皮红肿,龟头起了几个红点,1,12562
肉芽,长白点,1,10950
睾丸挫伤,睾丸有些疼,0,14739
精液粘稠,精液气味,0,15718
阴茎短小,阴茎勃起硬度不够,0,222
排尿困难,想尿又尿不出,1,1899
早射,∵刚进就射,1,2016
囊肿,有点歪,0,12274
龟头红肿,阴茎包皮红肿,1,5495
下面痒,痒??周围有点脱皮,1,9643
钙化,白色粉刺,0,14733
阴茎增粗,阴茎勃起慢,0,9864
小腹坠胀,睾丸坠胀,0,4479
射精无力,射精不舒服,0,10562
包皮紧,包皮上起小包,0,7384
下面痒,阴囊上有小疙瘩,0,4101
睾丸痒,睾丸坏死,0,6208
龟头脱皮,龟头外一圈总有白的东西,0,14976
钙化,尿液味重,0,1467
硬度不够,勃起12多点,0,15158
尿黄,小便有沫,0,10248
精液粘稠,精液成水状,0,8221
龟头出不来,龟头干裂,0,6731
睾丸潮湿,阴囊有点痒,0,2674
阴茎有硬块,阴茎长水泡,1,10721
睾丸肿大,睾丸皮疼,0,7066
尿频,老是想射,0,1941
阴茎短小,勃起硬度差,0,215
尿道口红肿,被口就有一块发红,0,12737
射精出血,射精后肚子疼,0,9491
尿胀,尿尿有亮晶体,0,3995
龟头结痂,龟头有酥麻感,0,9540
阴囊有疙瘩,龟头长小红点,0,6988
阴囊脱皮,阴囊痛,0,15835
黄色的,泛黄,1,6815
长疙瘩,有小白点,1,11715
龟头出不来,龟头不平滑,0,4552
黄色的,有点烧灼感,0,3551
尿道口流脓,白色的一些东西,0,11080
淋巴结肿大,睾丸正常都下垂,0,11331
阴茎折断,阴茎冰凉,0,11544
粉刺,白色皮肤一样,0,13574
阴茎增大,阴茎太小,1,3109
阴茎有硬块,阴茎流脓,0,2701
有点肿,有点疼有点痒,0,2283
精液发黄,精子颗粒状,0,5257
睾丸有异味,潮湿异味,1,2171
精子有颗粒,一点果冻状,0,3258
阴茎过大,阴茎比较短小,0,9057
粉刺,白色的小痘痘,1,5932
龟头痒,龟头起红疙瘩,0,8564
精液量多,撸几下就射了,0,9481
龟头结痂,龟头小,0,10069
肉芽,红色斑块,0,4511
阴茎水肿,阴茎刺痛,0,14693
阴茎水肿,阴茎勃起不硬,0,15842
有异味,有点偏胖,0,8345
小便出血,尿血?,1,9395
龟头有白色分泌物,龟头有少量分泌物,1,2688
尿有异味,小便痒,0,3348
睾丸胀,睾丸下面长个豆,0,14093
尿等待,小便有分叉,0,9098
龟头充血不足,龟头敏感度有点高,0,6545
射精无力,尿也不多,0,9867
精液量多,精液太少,0,12520
阴囊有疙瘩,蛋蛋上有小疙瘩,1,8876
尿急,没两下就射精,0,8587
尿道口刺痛,小便的时候刺痛,1,8764
龟头充血不足,龟头变软,0,6035
睾丸疼,睾丸出汗,0,10818
龟头溃烂,龟头有分泌物,0,7348
脱皮,生殖器疲软,0,5331
记忆力减退,腰酸背痛怕冷,0,59
包皮水肿,包皮烂痒,0,14036
有点红,有点痛,0,11821
下面痒,下面瘙痒,1,4829
射精出血,精液中有血丝,1,12414
小便出血,尿尿,0,14905
长疙瘩,红色的小点,1,13603
龟头有颗粒,鬼头上有白色的东西,1,12874
睾丸胀,睾丸胀痛厉害,1,4768
阴囊发凉,睾丸有点疼痛,0,2102
阴囊痒,阴囊上长了好多疙瘩,0,12543
包皮痒,包皮上有白点,0,15873
阴茎撕裂,血管受损海绵体受损,0,13197
龟头有小痘痘,龟头出现红点,1,1988
阴茎增大,阴茎变软,0,9225
有点疼,老是做梦,0,3727
手脚冰凉,老出虚汗,0,9716
睾丸扭转,睾丸特大,0,7692
尿胀,撒尿带血,0,6732
龟头有白色分泌物,尿道口损伤,0,7994
记忆力减退,精神萎靡,1,6570
龟头灼热,阴茎就软了,0,15601
尿道口红肿,有灼热感,0,7272
精子有颗粒,射精控制∴不住,0,10834
睾丸萎缩,睾丸受伤,0,7470
阴囊脱皮,睾丸左侧疼,0,9255
尿痛,小便时有点痒,0,6382
龟头有白色分泌物,尿道有异味,0,2446
尿量少,一喝水就尿多,0,7500
阴茎短小,勃起不怎么硬,0,234
黄色的,尿红,0,5340
阴茎增粗,阴茎短小包皮,0,756
肉芽,长了小豆豆,1,13844
早射,房事不射精,0,15755
小肉球,长了几个疙瘩,1,5175
精液像水一样,精液有颗粒发黄,0,2577
龟头灼热,阴茎突然不硬,0,6513
射精出血,全程射血,1,14575
睾丸挫伤,睾丸上有东西,0,8300
中途疲软,中途容易疲软,1,5099
尿量少,尿有味,0,8219
龟头疼,龟头痒痒,0,15062
精子有颗粒,射精不痛,0,14132
射精痛,磨蹭就疼痛,0,2258
尿有灼热感,小便的时候有点疼,0,6047
小肉球,小肉瘤,1,10117
尿道有点痒,尿道口有点痒,1,13061
尿频,憋尿,0,8643
睾丸下垂,睾丸疼痛,0,10541
阴茎撕裂,阴茎红痒,0,5144
睾丸有点硬,睾丸破皮,0,12542
精液有异味,精子颜色发黄,0,5915
阴茎扭转,阴茎不爱硬,0,10693
粉刺,黑色粉刺,1,15940
尿道口刺痛,尿道有点痛,1,10476
尿道有点痒,尿道口有些红,0,2479
小便出血,小便多,0,14149
不射精,硬度不好,0,13984
尿道口流脓,白色了,0,5205
阴茎短小,勃起刺激就想射精,0,16168
龟头有颗粒,无颗粒,0,4506
射精无力,射精痛射精无力无快感,1,4276
尿道口刺痛,尿道口肿点不流脓,0,3031
阴茎水肿,阴茎太大,0,1302
腰酸乏力,腰疼酸,1,5883
龟头出血,龟头刺挠,0,15519
睾丸挫伤,睾丸:痛,0,13630
尿道口红肿,尿的时候刺痛,0,12979
包皮痒,包皮浮肿,0,12596
尿量少,一点点红,0,14511
阴囊脱皮,睾丸发痒,0,15624
尿黄,撒尿痛,0,12267
虚汗,好出汗,1,9290
龟头结痂,龟头增大,0,8515
有点发炎,有点尿结石,0,12624
中途疲软,做爱到一半就软了,1,2152
脱皮,一片发红,0,5298
小腹疼,左侧腮部肿了头部左侧麻木疼痛,0,9359
精液有血,精液果冻状,0,134
溃疡,有点拉肚子,0,15336
龟头有小痘痘,龟头上有白点点,1,5914
睾丸潮湿,睾丸出汗,1,2018
龟头溃烂,龟头上长痘痘,0,15180
龟头流脓,龟头出不来,0,9934
阴茎水肿,阴茎软绵绵的,0,14598
阴茎弯曲,海绵体损伤不能勃起,0,3921
龟头上有黑点,龟头还疼,0,15247
阴囊痒,阴囊有点湿,0,14574
中途疲软,稍一分神就软了,1,9823
精液像果冻,精子跟果冻一样,1,7672
阴茎短小,勃起不够硬,0,204
精液发黄,精液突然变少,0,12457
龟头结痂,龟头异味,0,13318
阴囊有疙瘩,龟头上起了两个红点,0,14725
溃疡,有一点点痒,0,4397
射精无力,射精都很快,0,7198
阴茎疼,阴茎缩小,0,12526
龟头痒,龟头发黑,0,8054
精液粘稠,精子成活率不够,0,15894
睾丸萎缩,睾丸肿,0,3040
阴茎折断,阴茎非常短小,0,13384
阴囊脱皮,阴囊有灼热感,0,14181
睾丸下垂,附睾有硬块,0,5848
龟头上有黑点,龟头有点红肿,0,8757
龟头溃烂,龟头上痒,0,1884
有点红,有点弯,0,8078
记忆力减退,记忆力衰退,1,94
精液发黄,精子稀少,0,13457
龟头有红斑,龟头肿了,0,13632
龟头有红点,龟头发凉,0,10492
没有以前硬,勃起下降,0,13254
包皮痒,包皮内庠,1,3003
精液有异味,精液活力低,0,14674
钙化,尿液有发黄,0,13802
尿无力,小便发臭,0,11875
尿急,尿口疼,0,14718
睾丸有点硬,左侧睾丸有个硬块,1,12300
有点红,长了点点,0,14243
龟头有白色分泌物,尿道口发热,0,2010
囊肿,有点白色,0,2170
中途疲软,一会自己就软了,1,8549
龟头上有黑点,龟头有珍珠疹,1,2277
尿不尽,总感觉想尿尿,0,1053
红肿,疼痛瘙痒,0,8934
精子有颗粒,射精后头疼,0,5881
龟头有白色分泌物,尿道有灼热感,0,12960
记忆力减退,精神萎靡,0,49
尿道口刺痛,小便有刺痛,0,15216
淋巴结肿大,输精管堵塞,0,12251
精子有颗粒,射精射精有些快,0,10451
阴茎疼,阴茎细短,0,5764
长疙瘩,长小红点,1,10433
小肉球,红痘痘,1,1504
粉刺,小水泡,1,2585
溃疡,有点痒有点痛,0,3977
阴茎过大,阴茎异常勃起轻度,0,14809
精子有颗粒,射精量很大,0,5194
龟头脱皮,龟头水肿,0,1484
龟头脱皮,龟头是红紫色,0,10520
有异味,发热里面有点红,0,11874
脱皮,生殖器里面痒,0,1066
尿量少,夜里尿特别多,0,4742
龟头痒,龟头有点发红,0,5267
龟头流脓,龟头上有很多小红点,0,10731
阴囊脱皮,睾丸下垂,0,12969
包皮紧,包皮划破出了很多血,0,4692
虚汗,出汗潮湿,1,14720
包皮痒,包皮也痒,1,13135
死精,精子果冻状发黄,0,12938
硬度不够,硬度不尖,1,2453
硬度不够,勃起小,0,8682
阴茎折断,阴茎软绵绵的,0,4218
阴囊红肿,睾丸一阵一阵的疼,0,15035
阴茎有硬块,阴茎有时会痛,0,3954
龟头有红斑,包皮上有小红点,1,2214
包皮紧,包皮?,0,14035
虚汗,没精,0,8860
精液粘稠,精液流的少,0,9984
尿道口流脓,烧热感,0,6585
包皮水肿,包皮后小鸡鸡感染,0,8766
精液量多,一进去就射了,0,7665
尿无力,小腹胀,0,2086
阴茎水肿,阴茎过大,0,8260
硬度不够,勃起很疼,0,3658
龟头流脓,龟头上起红点,0,15514
精液像水一样,精液味,0,3859
死精,精液的味道,0,13791
尿道口刺痛,尿道口有粘液流出,0,3153
硬不起来,勃起来I0几分钟短小,0,3899
包皮水肿,包皮口紧,0,15507
包皮有点长,??包皮过长,1,8754
包皮水肿,包皮内侧痒,0,1011
龟头流脓,龟头异味,0,15840
排尿困难,夹不住尿,0,7460
精液像水一样,精液特少,0,2282
龟头出不来,龟头神经过敏,0,3743
精液像果冻,精子不射,0,11341
红肿,生殖器有点小,0,6932
精液像水一样,精液带血丝,0,8021
肾虚,浑身发热,0,7192
阴囊痒,阴囊上长个小肉芽,0,6394
精液有异味,精液里有小黑点,0,3909
不射精,勃起不硬射精快无力,0,4349
睾丸扭转,睾丸太小,0,9240
有点肿,后背疼痛,0,3467
肉芽,小米粒水泡,1,2441
睾丸疼,小便完疼痛,0,3916
阴茎撕裂,阴茎神经粘连,0,4334
阴茎撕裂,阴茎潮湿,0,3751
灼热,有灼热感,1,7836
尿多,小便痛??,0,2519
肾虚,性功能衰退,0,10180
尿道有点痒,尿道管疼,0,8737
尿道流白色液体,尿出来白色液体,1,6690
精子成活率低,精液量少,0,7698
硬度不够,勃起也疼,0,13615
尿多,小便出血,0,860
龟头敏感,几下就射精了特别敏感,1,4685
阴茎短小,勃起时间短硬度不够,0,8135
腰酸乏力,腰酸腰痛,1,12495
精液像果冻,精子都发黄,0,14928
睾丸挫伤,睾丸痛,0,16112
尿无力,小便有沫,0,3471
阴茎疼,阴茎能增大,0,9521
有点红,有点微红,1,3332
阴囊红肿,睾丸积水,0,2275
精子有颗粒,精子颗粒状,1,12282
阴茎弯曲,阴茎硬起来一会就软了,0,9223
睾丸一个大一个小,阴囊积水,0,16063
小便出血,小便是红色的,1,11390
睾丸胀,睾丸有个小疙瘩,0,11070
精液像水一样,精液呈果冻状,0,14768
有异味,有点透明,0,15696
龟头出血,龟头漏出来,0,1429
阴茎增粗,阴茎勃起有时候很硬,0,6108
龟头有小痘痘,龟头红斑,1,5555
有异味,有点变大,0,7228
死精,精液透明?,0,14317
尿有异味,尿尿有泡沫,0,9750
精液有异味,股癣有异味,0,8897
腰酸乏力,弯腰疼,0,12220
尿有异味,小便泡沫,0,3155
尿失禁,小便流血,0,7909
尿无力,小便时有点痛,0,6504
尿道口红肿,尿道流脓,0,5492
龟头流脓,龟头红红,0,7452
阴茎增大,阴茎细和短,0,364
阴茎疼,阴茎很硬,0,12208
龟头出不来,龟头有些胀痛,0,4901
龟头流脓,龟头上有红色斑点,0,3464
尿道口红肿,尿道口流黄色液体,0,9715
阴囊痒,阴囊特别潮湿,0,956
性欲减退,射精早,0,4404
射精无力,射精子,0,9488
睾丸疼,睾丸下坠松弛,0,16129
尿量少,尿特别的黄,0,8306
红肿,生殖器官小,0,9023
早射,两分钟就射精,1,8769
龟头出不来,龟头中间红,0,6092
龟头流脓,龟头上有白点点,0,9995
有点红,有点上火,0,2547
红肿,疙瘩红肿,1,5166
钙化,排尿有点痛,0,10036
记忆力减退,失眠,0,744
阴茎扭转,阴茎软,0,11427
尿量少,小便多次数多,0,9711
龟头溃烂,阴茎长了个疙瘩,0,3793
阴茎增大,阴茎比较短小,0,338
精液粘稠,精子呈黄色,0,14651
有异味,有点尿不净,0,10249
有异味,有点早射,0,2461
不射精,性生活不勃起,0,10103
阴囊脱皮,睾丸隐隐作痛,0,4384
尿分叉,尿不黄,0,7987
包皮有点长,包皮烂痒,0,3867
没有以前硬,勃起没那么硬,1,14538
龟头有红点,龟头铭感,0,800
阴囊有疙瘩,睾丸上有小疙瘩,1,1285
虚汗,浑身无力,0,15897
小肉球,红色的小痘痘,1,12752
小便出血,尿尿起泡沫,0,6138
尿里有泡沫,小便不痛,0,12024
肉芽,小米粒大小的疙瘩,1,4227
尿黄,尿黄有泡,1,740
阴囊痒,阴囊下垂,0,13463
尿失禁,小便不通,0,2274
精液粘稠,精子有颗粒,0,11493
尿道口红肿,尿尿感觉刺痛,0,5815
肾虚,憋的不行,0,10546
龟头上有黑点,龟头破了,0,11056
尿浑浊,小便尿不出,0,2878
阴茎短小,勃起也不是很硬,0,241
黄色的,有点发炎,0,3535
龟头有红斑,包皮红肿,1,1174
龟头出血,龟头有白色物质,0,11479
尿道口流脓,龟头刺痛,0,7903
肾虚,头疼头晕,0,4021
尿分叉,尿尿有点热,0,13529
睾丸下垂,阴囊收缩,0,6377
龟头有水泡,龟头上有一圈小疙瘩,1,11451
龟头脱皮,龟头疼痛,0,13570
睾丸变小,附睾囊肿,0,14626
龟头有红斑,龟头下面发青色,0,9918
射精痛,射精快点,0,11957
膀胱胀,膀胱胀痛,1,3085
龟头痒,龟头有小疙瘩,0,4117
包皮红肿,龟头有白色异物,0,1494
红肿,皮肤瘙痒,0,14822
尿频,感觉到疼,0,9282
龟头出血,龟头疼,0,11167
记忆力减退,腰酸腿酸,0,6624
精液发黄,精子都发黄,1,14959
记忆力减退,出盗汗,0,61
龟头出血,龟头红痒,0,3223
尿等待,尿尿的时候痛,0,5445
龟头溃烂,龟头异味,0,5128
射精痛,射精突然中途停顿,0,3260
粉刺,白色的沫沫,0,3299
尿不尽,一躺下就想尿尿,0,3426
阴茎撕裂,阴茎流水,0,2561
溃疡,有点痛感,0,8657
阴囊痒,阴囊潮温,0,12195
精液有血,精液像果冻一样,0,3519
尿有灼热感,小便有泡沫,0,1321
阴茎增大,阴茎软绵绵的,0,14297
龟头有珍珠疹,龟头腐烂,0,12186
淋巴结肿大,右侧腹股沟疼痛,0,7055
龟头有小痘痘,龟头不疼,0,13327
包皮有点长,包皮挡的,0,16106
精液有异味,精液有一点异味,1,10032
尿胀,小便排尿时刺痛,0,764
钙化,分秘物,0,10110
龟头溃烂,龟头太过敏感,0,11166
尿分叉,尿尿有泡沫,0,14516
记忆力减退,精神不佳,0,11756
精液有血,精液量少,0,109
睾丸胀,睾丸上有个小硬疙瘩,0,749
龟头红肿,阴茎上有小痘痘,0,12728
尿有异味,尿有味,1,2031
尿不尽,尿不尽??,1,2042
阴囊脱皮,阴囊结痂,0,9396
阴茎有异味,阴茎冠状沟脱皮,0,3976
龟头充血不足,海绵体水肿,0,6597
下体有异味,生殖器有点红肿,0,9067
睾丸潮湿,蛋蛋潮湿,1,3552
阴囊脱皮,阴囊有一点潮湿,0,2166
阴茎增粗,阴茎多长,0,450
肥大,前列腺增大钙化,0,7206
钙化,白色的粘液,0,7624
阴茎短小,勃起很难,0,239
尿有异味,尿尿痛,0,11729
阴茎增大,阴茎酸痛,0,11744
阴茎有硬块,阴茎上有小痘痘,0,5564
睾丸下垂,睾丸坠胀,1,910
精液有异味,精液有血丝,0,8432
阴茎疼,阴茎变短,0,8895
肾虚,四肢乏力,0,10094
精子有颗粒,颗粒捏又感觉不到硬,0,12296
精液粘稠,精子不完全液化,1,14496
精液像果冻,精子有果冻状,1,5957
阴茎短小,勃起后疼,0,15768
阴茎增粗,阴茎海绵体细胞受损,0,491
尿分叉,尿白,0,9299
小便出血,尿里有血,1,14020
龟头有白色分泌物,白色颗粒,0,13292
息肉,总长息肉,1,3605
记忆力减退,记忆力下降,1,1
小肉球,阴径根部汗毛眼起了三个小疙瘩,0,12019
尿道口红肿,有些分泌物,0,5821
精液粘稠,精液微黄,0,9055
小肉球,大疙瘩,1,1780
包皮垢,包皮特别痒,0,13598
龟头出不来,龟头出过血,0,9640
包皮水肿,包皮还过长,0,10206
尿分叉,尿黄有味,0,3702
钙化,白色垢,0,12889
尿不尽,尿不下来尿,0,12408
睾丸变小,睾丸潮湿有味,0,2536
阴茎增粗,阴茎很短,0,482
龟头上有黑点,龟头有白色,1,2971
精液有异味,精液气味,0,13927
尿道口流脓,尿道口流出,0,14812
精液有血,精子淡黄色果冻状,0,14721
包皮垢,包皮包的,0,741
囊肿,有点变小,0,5613
尿有灼热感,有点积液,0,5725
虚汗,特别能出汗,1,3612
睾丸肿大,睾丸一阵一阵的疼,0,11325
睾丸疼,睾丸右下边疼,1,11253
小腹疼,小肚疼,1,15867
尿道口流脓,尿道口瘙痒,0,4341
射精痛,射精也有点快,0,10123
睾丸变小,睾丸有点隐痛,0,7993
精子成活率低,精液果冻状,0,10681
记忆力减退,腰乏力,0,32
下面痒,有点稀,0,5696
睾丸潮湿,睾丸有点疼痛,0,7370
囊肿,有点浑浊,0,4526
有点肿,有点疙瘩,0,14198
阴茎折断,阴茎溃疡,0,11439
腰酸乏力,小腹隐隐的疼,0,8642
龟头出血,龟头发黄,0,9971
肉芽,小白粒,1,6894
阴茎折断,阴茎经常勃起,0,5916
阴茎疼,jj弯的,0,13838
有点红,有点红了,1,2609
红肿,生殖器上长小疙瘩,0,10376
阴囊红肿,睾丸有点胀疼,1,4590
没有以前硬,勃起次数多,0,14193
性欲减退,射精射不出,0,8969
龟头痒,龟头白色,0,952
