uuid,sentence,sentence2,label
c9f2db81-1bf8-11ea-b5d5-e0d55e7e3b80,阳痿早泄能治疗吗,如果阳痿早泄了有办法治吗,1
c9f218cf-1bf8-11ea-b4a5-e0d55e7e3b80,啥都没有,没有你说的其他的,0
c9f108d7-1bf8-11ea-aa04-e0d55e7e3b80,能用什么药吗,可以吃什么药,1
c9f09436-1bf8-11ea-9c27-e0d55e7e3b80,怎么算包皮过长,就是包皮过长,0
c9f156c5-1bf8-11ea-ab07-e0d55e7e3b80,切包皮大概多少钱 需要需要多少天康复,割包皮大概多少钱  多久能出院,0
c9efcfc5-1bf8-11ea-8caa-e0d55e7e3b80,那是什么情况？,具体是什么,0
c9f3029b-1bf8-11ea-b28b-e0d55e7e3b80,这应该是什么,会是什么,1
c9efa910-1bf8-11ea-80a1-e0d55e7e3b80,怎么办哦,现在怎么办？,1
cb0614db-1bf8-11ea-9534-e0d55e7e3b80,早泄吃什么药？,早泄吃什么药啊？医生,1
c9f23fcc-1bf8-11ea-ae79-e0d55e7e3b80,这手术多少钱,做个手术多少钱,1
cb059fd2-1bf8-11ea-ba34-e0d55e7e3b80,怎么治疗呢，,好吧 这个要怎么治疗,1
c9efcfe8-1bf8-11ea-b05f-e0d55e7e3b80,什么是早泄？,阳痿早泄吃什么药？,0
c9f3ec01-1bf8-11ea-a75b-e0d55e7e3b80,那怎么调理调理,肾虚怎么调理啊,0
c9f30215-1bf8-11ea-bf97-e0d55e7e3b80,需要哪些检查,检查就需要检查什么怎么检查,0
c9f412bd-1bf8-11ea-a11c-e0d55e7e3b80,前列腺检查大概多少钱,前列腺检查多少钱,1
c9f0e285-1bf8-11ea-a225-e0d55e7e3b80,石家庄可以做么,没在石家庄,0
c9f28e0c-1bf8-11ea-94b3-e0d55e7e3b80,那个包皮过长是怎么回事,包皮过长什么意思,0
c9f06c67-1bf8-11ea-a031-e0d55e7e3b80,那应该怎么治疗？,怎么治疗啊？,1
c9f1a360-1bf8-11ea-b700-e0d55e7e3b80,我14   有两天啦,14  有一个星期了,1
c9f328f6-1bf8-11ea-af89-e0d55e7e3b80,不知道他哦,不知道她,1
c9f0453e-1bf8-11ea-8c08-e0d55e7e3b80,什么叫传统手术,那是什么手术啊？,0
c9f37825-1bf8-11ea-8216-e0d55e7e3b80,严重吗？这个病。,这个情况严重么？,1
c9f4d6a7-1bf8-11ea-b981-e0d55e7e3b80,你就说现在大概多少钱吧,这样检查一下大概多少钱,0
c9f0e1eb-1bf8-11ea-82ce-e0d55e7e3b80,怎么治疗呢？,这个怎么治疗呢,1
c9f35196-1bf8-11ea-87e6-e0d55e7e3b80,这个怎么治疗呢,那怎么治疗呢,1
c9f1a351-1bf8-11ea-ad47-e0d55e7e3b80,也不需要手术啥的是吧,手术需要多少钱,0
c9f0e210-1bf8-11ea-b5c3-e0d55e7e3b80,这是什么原因呢,是什么原因造成的？,1
c9f044b7-1bf8-11ea-be2b-e0d55e7e3b80,是肾虚吗,是肾虚的表现呢？,1
c9f43ab5-1bf8-11ea-8a55-e0d55e7e3b80,撸完睾丸右侧疼怎么回事,睾丸痛怎么回事,0
c9ef5b01-1bf8-11ea-bda7-e0d55e7e3b80,会有什么危害么,有什么坏处,1
c9f093d1-1bf8-11ea-bd0b-e0d55e7e3b80,是什么导致的,是什么原因呢,1
c9f1302b-1bf8-11ea-bfc3-e0d55e7e3b80,那是什么原因,是什么引起的吗,1
c9f0e23a-1bf8-11ea-adc7-e0d55e7e3b80,需要如何治疗？,那如何治疗,1
cb05a055-1bf8-11ea-851d-e0d55e7e3b80,你的多少，我加你,你多少我加你吧,1
c9f3ebbc-1bf8-11ea-b53a-e0d55e7e3b80,腰酸  腰还有些痛,腰酸有但是少,0
c9f1caf6-1bf8-11ea-80bd-e0d55e7e3b80,那这个要怎么治疗,这个怎么说,0
cb059fd8-1bf8-11ea-8aff-e0d55e7e3b80,就这几天嘛,这两天才有,1
c9f39fa1-1bf8-11ea-86fa-e0d55e7e3b80,那早泄怎么治疗,早射怎么治疗呀,1
c9f4131b-1bf8-11ea-baa7-e0d55e7e3b80,就是大概要怎么恢复大概多久大概多少钱,我现在问下手术多少钱,0
c9f1ca37-1bf8-11ea-ac90-e0d55e7e3b80,做爱时间短啊？,我做爱时间很短怎么办,0
c9f13034-1bf8-11ea-86e4-e0d55e7e3b80,有什么好方法,有什么好方法吗,1
c9f30216-1bf8-11ea-a2c0-e0d55e7e3b80,是说早泄？,手淫阳痿早泄,0
c9f2b4bc-1bf8-11ea-9f88-e0d55e7e3b80,还没有检查呢,都检查了,0
c9f4d72b-1bf8-11ea-9665-e0d55e7e3b80,几分钟一,十分钟吧,1
c9f1f1a8-1bf8-11ea-8777-e0d55e7e3b80,那有什么药可以,那有什么办法呢,0
c9f108e5-1bf8-11ea-86e9-e0d55e7e3b80,要怎么治,要怎么治啊,1
c9f39f10-1bf8-11ea-b9cf-e0d55e7e3b80,治疗好吗,能治疗吗,0
c9f24003-1bf8-11ea-b0b5-e0d55e7e3b80,那怎么办呢，,现在怎么办？,1
c9f30223-1bf8-11ea-ab60-e0d55e7e3b80,QQ有吗,微信约你,0
c9f461f8-1bf8-11ea-97fe-e0d55e7e3b80,这个手术大概需要多少钱啊,我着大概需要多少钱,0
c9f0bacf-1bf8-11ea-a6f4-e0d55e7e3b80,去医院应该检查什么啊,去医院做的检查,0
c9f2400e-1bf8-11ea-9c61-e0d55e7e3b80,还早泄呢。,就是吃阳痿早泄的药？,0
c9f328ed-1bf8-11ea-b238-e0d55e7e3b80,阳痿早泄吃什么药？,早泄的症状是什么,0
c9f1f156-1bf8-11ea-8f9c-e0d55e7e3b80,是的，是怎么回事,是的，是什么情况,1
c9f3c644-1bf8-11ea-bd46-e0d55e7e3b80,你说下吃什么药,请问您有什么药吃,1
c9f3c600-1bf8-11ea-912d-e0d55e7e3b80,嗯，，差不多，,嗯嗯 ，差不多,1
c9f1f135-1bf8-11ea-8363-e0d55e7e3b80,费用大概要多少,费用大概多少,1
c9ef5aeb-1bf8-11ea-bb3e-e0d55e7e3b80,您有QQ吗,你QQ是多少,1
c9f28e30-1bf8-11ea-b4ee-e0d55e7e3b80,腰酸乏力该挂什么科,只有腰酸乏力,0
c9efd073-1bf8-11ea-985c-e0d55e7e3b80,大约需要多少钱啊,那需要多少钱呢,1
cb0578f7-1bf8-11ea-9806-e0d55e7e3b80,吃什么药可以,吃什么药，,1
c9f06bb8-1bf8-11ea-b700-e0d55e7e3b80,那我现在是什么症状？,那我是什么症状,1
c9ef81fa-1bf8-11ea-8c1d-e0d55e7e3b80,有什么治疗吗？,是什么原因可以治吗,0
c9f4b027-1bf8-11ea-837f-e0d55e7e3b80,包皮一定要做吗,我包皮没有剪,0
c9f4625e-1bf8-11ea-884a-e0d55e7e3b80,就这几天痒,刚发现几天,0
c9f4b00d-1bf8-11ea-8757-e0d55e7e3b80,怎么治疗呀？,怎么治疗呢还是,1
c9f3292a-1bf8-11ea-a8e5-e0d55e7e3b80,为什么早上会勃起,早上没有勃起,0
cb05c70a-1bf8-11ea-baf0-e0d55e7e3b80,前列腺？,主要是前列腺,0
c9f2186e-1bf8-11ea-9c77-e0d55e7e3b80,你医院在那,去医院挂什么科？,0
c9f302b3-1bf8-11ea-8ba1-e0d55e7e3b80,嗯，您怎么称呼,怎么问?,0
c9f3ebe9-1bf8-11ea-9e6f-e0d55e7e3b80,去医院做什么样的检查,去医院做的检查,0
c9f1a394-1bf8-11ea-ae8e-e0d55e7e3b80,那检查什么,常规检查是检查什么呢,1
cb05c70b-1bf8-11ea-812a-e0d55e7e3b80,早泄怎么办啊,早泄喽??,0
c9f0e1f0-1bf8-11ea-9884-e0d55e7e3b80,是不是前列腺,前列腺腿也会肿吗,0
c9f1566e-1bf8-11ea-8de0-e0d55e7e3b80,是吃药还是？,吃药，还是打针,0
c9f48889-1bf8-11ea-aab0-e0d55e7e3b80,阳痿治吗,手淫阳痿早泄,0
cb057916-1bf8-11ea-a771-e0d55e7e3b80,什么原因呢,是什么原因造成的呢,1
cb0578d9-1bf8-11ea-bfe3-e0d55e7e3b80,噢，需要吃药吗？,吃药就好了,0
c9f13061-1bf8-11ea-a165-e0d55e7e3b80,想问问做包皮手术,包皮手术的过程,0
c9f37839-1bf8-11ea-839e-e0d55e7e3b80,咱们医院在什么地方？,咱们的医院在什么地方,1
c9efa961-1bf8-11ea-97c8-e0d55e7e3b80,那我这种应该怎么治疗,这种情况该怎么治疗,1
c9f108bb-1bf8-11ea-8441-e0d55e7e3b80,大概需要多少钱？,大概要多少钱,1
c9f2400c-1bf8-11ea-b4bc-e0d55e7e3b80,您可以告诉我，怎么治疗吗？买什么药物,可以有什么药物治疗吗,1
c9f2403a-1bf8-11ea-91d0-e0d55e7e3b80,23  才几天,才有几天,0
c9f28e70-1bf8-11ea-9d14-e0d55e7e3b80,每次就几分钟,我每次几分钟就完事儿,1
c9ef5b5a-1bf8-11ea-9084-e0d55e7e3b80,像我这样属于什么情况,我这大概属于什么情况,1
c9efcfac-1bf8-11ea-a8bd-e0d55e7e3b80,为什么少,为什么这样,0
c9f06c74-1bf8-11ea-b8cd-e0d55e7e3b80,那该怎么治疗？,嗯，那该怎么处理,0
c9f301d9-1bf8-11ea-92a1-e0d55e7e3b80,怎么治愈呢？,怎么痊愈啊,1
c9f3785e-1bf8-11ea-8424-e0d55e7e3b80,治疗早泄怎么办,严重早泄怎么办,1
c9f37844-1bf8-11ea-bb1f-e0d55e7e3b80,还有别的嘛,还有其他的吗？,1
c9f3c5eb-1bf8-11ea-a609-e0d55e7e3b80,阳痿早泄能治疗吗,阳痿早泄可以治吗,1
c9f0e1da-1bf8-11ea-a005-e0d55e7e3b80,阴囊潮湿为什么啊,阴囊潮湿是怎么,0
c9efa8eb-1bf8-11ea-9c94-e0d55e7e3b80,包皮手术前后需要多少钱,6岁娃娃做包皮手术多少钱,1
c9f3029f-1bf8-11ea-b7ef-e0d55e7e3b80,那我要去哪里治疗呢,怎么治疗了？？,0
c9f2b4ba-1bf8-11ea-bc7f-e0d55e7e3b80,做了没有问题,这个没问题,0
c9efcff7-1bf8-11ea-91b6-e0d55e7e3b80,是说早泄？,有早泄情况,0
c9f1f1b4-1bf8-11ea-9858-e0d55e7e3b80,龟头上有那小红点是啥！,就龟头上有,0
c9f328d8-1bf8-11ea-b2c0-e0d55e7e3b80,我这个要多久治的好？,这个要治疗多久,1
c9f218c0-1bf8-11ea-adcc-e0d55e7e3b80,这应该怎么治！？？,这个应该怎么感觉,0
c9f0bb79-1bf8-11ea-b471-e0d55e7e3b80,药物治疗，可以吗？,这个药物能治疗吗,1
c9f2db1c-1bf8-11ea-a1e8-e0d55e7e3b80,我是按预约价吗,预约挂号,0
c9f108f8-1bf8-11ea-b668-e0d55e7e3b80,睾丸一拍有点疼是怎么回事,我睾丸有点疼是怎么回事呀？,0
c9f4627d-1bf8-11ea-b973-e0d55e7e3b80,做一个什么检查,那需要做什么检查呢,1
c9f4d6ff-1bf8-11ea-a5c5-e0d55e7e3b80,那是什么原因,有什么原因的,1
c9f3c616-1bf8-11ea-83df-e0d55e7e3b80,去检查了,又要去检查,1
c9f2408b-1bf8-11ea-9f5f-e0d55e7e3b80,一般是什么原因,这一般是什么原因呢,1
c9f4b00a-1bf8-11ea-ace5-e0d55e7e3b80,怎么检查啊,一般怎么检查,1
c9f240b6-1bf8-11ea-a164-e0d55e7e3b80,那该怎么办，,哦哦，那该怎么办？,1
c9f1a389-1bf8-11ea-bda3-e0d55e7e3b80,怎么治疗呢还是,嗯，那怎么治疗,1
c9f218e5-1bf8-11ea-9a42-e0d55e7e3b80,怎么治疗好啊,老师怎么治疗,1
c9f3029a-1bf8-11ea-a228-e0d55e7e3b80,23   有4年左右了吧,27   有七八年了吧,1
c9f108fa-1bf8-11ea-aca2-e0d55e7e3b80,你们医院在哪里啊？,你们医院在哪，,1
c9f4d68c-1bf8-11ea-a3bc-e0d55e7e3b80,切包皮得多长时间,作包皮手术多长时间啊,1
c9f488c4-1bf8-11ea-b038-e0d55e7e3b80,阳痿早泄吃什么,阳痿早泄遗传吗,0
c9f4afa1-1bf8-11ea-969b-e0d55e7e3b80,怎么痊愈啊,怎么治愈呢？,1
c9f0bad7-1bf8-11ea-a783-e0d55e7e3b80,什么意思？什么感染？,这是什么感染啊,0
c9f301da-1bf8-11ea-8114-e0d55e7e3b80,不勃起是为什么啊,不勃起呢,0
c9f4af8d-1bf8-11ea-9d70-e0d55e7e3b80,是前列腺的问题吗,就做了个前列腺液,0
cb05c6c6-1bf8-11ea-9499-e0d55e7e3b80,请问是什么原因呢,什么原因引起得,1
c9f43b21-1bf8-11ea-846e-e0d55e7e3b80,吃了避孕药。月经会推迟嘛？,吃完避孕药会推迟吗,1
c9f0bb3e-1bf8-11ea-aed8-e0d55e7e3b80,外地医保可以报销吗？,哪咱这里可以医保报销吗,1
c9f108ea-1bf8-11ea-b74e-e0d55e7e3b80,不知道你说什么,我不知道是什么,1
c9f0e24c-1bf8-11ea-b69f-e0d55e7e3b80,检查大概要多少钱,检查加治疗大概多少钱,0
c9efcfdc-1bf8-11ea-8da3-e0d55e7e3b80,那这个该怎么治疗那,就这个情况应该怎么治疗,1
c9f3ebe4-1bf8-11ea-9b1c-e0d55e7e3b80,那应该怎么办呢？,嗯，怎么办那,1
c9efa906-1bf8-11ea-97a2-e0d55e7e3b80,性病的一种吗？,不是性病类的吧？,1
cb05ee82-1bf8-11ea-9482-e0d55e7e3b80,哦，那怎么治疗呀,那应该怎么治疗呢！,1
c9f108ef-1bf8-11ea-9aab-e0d55e7e3b80,是和包皮有关吗,切包皮?痛吗,0
c9eff72c-1bf8-11ea-bcbf-e0d55e7e3b80,术后多久恢复,多长时间能恢复,0
cb05a053-1bf8-11ea-8ef3-e0d55e7e3b80,就是大概要怎么恢复大概多久大概多少钱,对的，就是想问一下大概治疗费用,0
cb059fe4-1bf8-11ea-8e4d-e0d55e7e3b80,检查治疗大概要多少钱这样呢？,请问治疗需要多少费用啊,0
c9f28e23-1bf8-11ea-a8ef-e0d55e7e3b80,用药物大概多少费用啊,多少费用吃药,1
c9f15674-1bf8-11ea-a37f-e0d55e7e3b80,那应该怎么处理呢,怎么处理能好啊,1
c9f2dafc-1bf8-11ea-ab95-e0d55e7e3b80,你没有告诉多少钱,你就说多少钱一次吗,1
c9f108d4-1bf8-11ea-b5be-e0d55e7e3b80,大概需要多少钱能治好呢,能治好么？需要多少钱,0
c9ef8236-1bf8-11ea-ba50-e0d55e7e3b80,嗯，什么原因呀,这主要是什么原因呢,1
c9f41352-1bf8-11ea-82d4-e0d55e7e3b80,这个是早泄吗,早泄可以治呢,0
cb05eddd-1bf8-11ea-9a1e-e0d55e7e3b80,没啥都是早泄,不是早泄,0
c9f0945c-1bf8-11ea-92b4-e0d55e7e3b80,早泄怎么治,早泄怎么治疗,1
c9f2180f-1bf8-11ea-b646-e0d55e7e3b80,包皮过长影响做爱吗,是包皮过长,0
c9f3ec28-1bf8-11ea-b43a-e0d55e7e3b80,你要多少钱呐？,行吧   那这需要多少钱呢,1
c9f4625c-1bf8-11ea-93d7-e0d55e7e3b80,那我需要做什么检查呢,还得做什么检查啊,1
c9f1f1b9-1bf8-11ea-b2e6-e0d55e7e3b80,怎么去你们医院,你们医院,0
c9efd01e-1bf8-11ea-8992-e0d55e7e3b80,需要检查呀？？,这方面都需要检查啥呀,0
c9f43aa8-1bf8-11ea-98c7-e0d55e7e3b80,吃完就可以好？,可以吃什么药呢,0
c9f37807-1bf8-11ea-92d5-e0d55e7e3b80,哪怎么治疗,老师怎么治疗,1
c9f3ebeb-1bf8-11ea-a83e-e0d55e7e3b80,这个是什么原因导致呢？,什么原因造成的呢？,1
c9efd026-1bf8-11ea-9531-e0d55e7e3b80,做包皮手术多少钱啊。,做包茎手术多少钱啊,0
c9f3027e-1bf8-11ea-b192-e0d55e7e3b80,还没呢。,那还没有呢,1
c9f350f5-1bf8-11ea-8dfa-e0d55e7e3b80,也不说了,怎么不说了,0
c9f266f2-1bf8-11ea-a03e-e0d55e7e3b80,做个功能检查需要多少钱,检查肾多少钱,0
c9f0e283-1bf8-11ea-b47a-e0d55e7e3b80,和什么精囊炎,什么是前列腺炎,0
c9f267a7-1bf8-11ea-878b-e0d55e7e3b80,是正规医院吗,你们医院很正规的,0
c9f093c3-1bf8-11ea-8a49-e0d55e7e3b80,那怎么办。,这是怎么办,1
c9f0936c-1bf8-11ea-add3-e0d55e7e3b80,是什么情况啊,什么情况吗？,1
c9f17cec-1bf8-11ea-a390-e0d55e7e3b80,检查了，有，,没有，检查,0
c9f0bb1c-1bf8-11ea-95f4-e0d55e7e3b80,那吃什么药好,吃点什么药好啊,1
c9f17c7e-1bf8-11ea-83c2-e0d55e7e3b80,比晚上硬,一般都晚上做,0
c9f39f66-1bf8-11ea-84be-e0d55e7e3b80,那这应该咋办啊,这应该怎么办呢,1
c9f3c610-1bf8-11ea-be90-e0d55e7e3b80,割包皮吗,就是割包皮后,0
c9f093a7-1bf8-11ea-8c69-e0d55e7e3b80,什么原因啊,不知道什么原因,1
c9f1f143-1bf8-11ea-b017-e0d55e7e3b80,给儿童做包皮手术要多少钱喔,做一次包皮手术多少钱啊？,1
cb05ee60-1bf8-11ea-b23b-e0d55e7e3b80,那是什么原因啊,请问我这是什么引起的,1
c9ef8232-1bf8-11ea-9ce7-e0d55e7e3b80,好吧，这个需要做什么检查？,需要做什么检查吗,1
c9f1ca1f-1bf8-11ea-9749-e0d55e7e3b80,我没做过,我没有做什么,1
c9f43b39-1bf8-11ea-92ba-e0d55e7e3b80,好几年了，,两三年了吧,1
c9f267aa-1bf8-11ea-9940-e0d55e7e3b80,我这个是什么症状？,会有什么症状？,0
c9f4627a-1bf8-11ea-b77e-e0d55e7e3b80,这不是正常吗,正常吗！？,1
c9f4d703-1bf8-11ea-bb04-e0d55e7e3b80,该做什么检查？,好的，检查呢,0
cb057907-1bf8-11ea-ad33-e0d55e7e3b80,阳痿早泄能治愈吗,没啥都是早泄,0
c9f0bb9d-1bf8-11ea-8a76-e0d55e7e3b80,如果做包皮手术呢,需要做包皮手术吗,0
c9f2dafd-1bf8-11ea-83e8-e0d55e7e3b80,怎么调理呢,一般需要怎么调理,1
c9f43b31-1bf8-11ea-b243-e0d55e7e3b80,包皮手术和不手术有什么区别,这个要做包皮手术嘛，,0
c9f21849-1bf8-11ea-abf3-e0d55e7e3b80,龟头有红点是怎么回事,您好，龟头脱皮，痒是怎么回事,0
c9f301e1-1bf8-11ea-8ad9-e0d55e7e3b80,没有，就这几天,这几天都有,0
c9f302c4-1bf8-11ea-8a7a-e0d55e7e3b80,这个大概多少钱治疗,治疗这种病大概多少钱,1
c9f240b9-1bf8-11ea-9fb6-e0d55e7e3b80,有什么药可以用不,可以买什么药吃,1
c9f377e2-1bf8-11ea-90e2-e0d55e7e3b80,我以前有好几年手淫习惯,以前有手淫的习惯，现在戒了,1
c9efcfc0-1bf8-11ea-af65-e0d55e7e3b80,从北站坐几路公交去呢,北站下车坐几路能到?,1
c9f0e27b-1bf8-11ea-a4dc-e0d55e7e3b80,我应该怎么做,那这个应该怎么处理,1
c9f2b442-1bf8-11ea-89ca-e0d55e7e3b80,那我问你用什么药可以能,那是什么？,0
c9f4622d-1bf8-11ea-8603-e0d55e7e3b80,可以治疗了吧吧,你们那可以治疗,0
c9f4618e-1bf8-11ea-8fb4-e0d55e7e3b80,死屌什么情况,这个是什么情况啊,1
c9f43b60-1bf8-11ea-bf66-e0d55e7e3b80,没有别的办法了吗,别的没有,0
c9f0e241-1bf8-11ea-acf3-e0d55e7e3b80,手淫频繁好吗？,手淫戒掉会好吗,0
c9f488f1-1bf8-11ea-8319-e0d55e7e3b80,会有什么问题吗,不做会有什么影响吗,0
c9f2db8e-1bf8-11ea-b01b-e0d55e7e3b80,是什么个情况？,是什么情况呢,1
c9f32951-1bf8-11ea-9d11-e0d55e7e3b80,您说，哪个医院好些,哪个医院好点呢？,1
c9f351b5-1bf8-11ea-a55b-e0d55e7e3b80,费用大概要多少,大概费用多少呢,1
c9f46260-1bf8-11ea-b8f4-e0d55e7e3b80,你要怎么治疗啊,一般怎么治疗,1
c9eff6fc-1bf8-11ea-a04f-e0d55e7e3b80,那是什么情况？,请问是什么情况,1
c9efa945-1bf8-11ea-a6de-e0d55e7e3b80,在你们医院,就在你们医院,1
c9f35153-1bf8-11ea-8f55-e0d55e7e3b80,早泄还有的治没,阳痿早泄？,0
c9f266d1-1bf8-11ea-9bb6-e0d55e7e3b80,得去哪个医院啊,那个医院办的,0
c9f28e02-1bf8-11ea-a275-e0d55e7e3b80,包皮长一定要手术吗  不做手术可以吗,包皮手术和不手术有什么区别,0
c9f46258-1bf8-11ea-bb46-e0d55e7e3b80,现在预约检查要多少钱啊,没有去检查过，想问下检查需要多少钱,0
c9f266fb-1bf8-11ea-b1bf-e0d55e7e3b80,一般怎么治疗,这需要怎么治疗呢,1
c9f461ae-1bf8-11ea-8c6b-e0d55e7e3b80,会导致不育吗,有不孕不育,0
c9efcfd4-1bf8-11ea-8bec-e0d55e7e3b80,那是什么原因,那是什么原因啊,1
c9eff6c6-1bf8-11ea-9b54-e0d55e7e3b80,好的！曙光医院？,你是曙光医院的医生吗？,0
c9f10935-1bf8-11ea-9d85-e0d55e7e3b80,吃什么药管用,请问吃什么管用,0
c9f17cf1-1bf8-11ea-b2f6-e0d55e7e3b80,晨勃还是没问题,晨勃也挺短,0
c9f0943b-1bf8-11ea-819d-e0d55e7e3b80,阴囊潮湿怎么办？,什么是阴囊潮湿呢？,0
c9efd069-1bf8-11ea-b6ed-e0d55e7e3b80,怎么治疗？,怎么治疗?,1
c9f26741-1bf8-11ea-94ee-e0d55e7e3b80,这个大概需要多少钱,好吧，大概多少钱,1
c9f10920-1bf8-11ea-a260-e0d55e7e3b80,那是什么原因引起的,看看什么原因,1
cb05ee13-1bf8-11ea-84ae-e0d55e7e3b80,尿频没有 尿急也没,不尿频尿急，,1
c9f3516c-1bf8-11ea-8323-e0d55e7e3b80,是的，检查过,是的检查过,1
c9f3780d-1bf8-11ea-a49d-e0d55e7e3b80,，治好大概多少费用,治好要多少钱了,1
c9f412ba-1bf8-11ea-84f6-e0d55e7e3b80,那检查需要多少钱,做个功能检查需要多少钱,0
c9f2b469-1bf8-11ea-b7c7-e0d55e7e3b80,以前是阴囊潮湿。啊？,阴囊坐着时间长了就潮湿,0
c9f156a3-1bf8-11ea-988a-e0d55e7e3b80,一直检查,都检查了,0
c9f06c1e-1bf8-11ea-b307-e0d55e7e3b80,你这个怎么算呢。。。,这个是怎么引起的呢,0
c9f26791-1bf8-11ea-b0c8-e0d55e7e3b80,好吧知道了,嗯知道了,1
c9f4889c-1bf8-11ea-972f-e0d55e7e3b80,现在什么事都没有,什么都没有,0
c9efd063-1bf8-11ea-ac35-e0d55e7e3b80,主要是什么原因,那是什么原因,1
c9efd016-1bf8-11ea-8a37-e0d55e7e3b80,没有不适啊 我女朋友今天去检查 说什么支原体 还是阳性,我检查没有 问题是我女朋友有 是怎么引起的,0
c9f4b033-1bf8-11ea-b4f5-e0d55e7e3b80,阴茎太细怎么办,阴茎太细,0
c9f4afd5-1bf8-11ea-a3ec-e0d55e7e3b80,我着大概需要多少钱,好吧  坚持大概要多少钱,1
c9f3ec77-1bf8-11ea-843c-e0d55e7e3b80,检查治疗大概要多少钱这样呢？,那这个治疗大概需要多少钱,0
c9f1301f-1bf8-11ea-b172-e0d55e7e3b80,请问是什么情况呢,我问一下怎么回事,1
c9f01dae-1bf8-11ea-9c13-e0d55e7e3b80,可以坐包皮手术吗,包皮还可以,0
