sentence,label,uuid
你性检查抗精子抗体，阴性啥意思,描述就诊史,E0090000002862002
去扁平疣来刚半个月掉痂了,描述就诊史,E0100000000149004
4、5年,无,E0100000000687005
可能是烧伤时间长的原因,描述就诊史,E0100000001175008
被他人挖的,无,E0100000002253006
腋臭手术留下的,描述就诊史,E0100000002443002
最近发过2次,描述就诊史,E0110000001246007
301的专家会诊下周有没有呢,咨询上班时间,E0110000002320001
16岁的女孩子经过90测试 疑是双相情感障碍,描述就诊史,E0110000003237002
激光能治吗，回复吗,咨询治疗方式,E0130000002914015
上个月2，27号,描述就诊史,E0130000005172013
还没有的，就是打算做，先了解下,确定联系意愿,E0140000001205007
那我明天去儿科检查了来,咨询公司介绍,E0140000002215011
我问下  明天我去上班,确定联系意愿,E0150000000927026
是遗传的，我家很多人都有，有两位亲戚做了手术，都有后遗症,描述就诊史,E0150000000968007
有這种藥，你網上搜嘛,咨询药物,E0150000001431007
我知道，我的意思是来做检查，是应该到温江还是华西本院。,咨询地址,E0150000003388025
小时候有次从楼下摔了  导致后面耳朵听力有点不好,描述就诊史,E0150000004017004
你是哪个大夫,无,E0160000000163022
做胃肠彩超，和肝胆彩超可以,咨询检查方式,E0170000001015019
那我是肠还是胃的问题？,咨询病因,E0170000003310033
你是沈阳的医院吗,咨询地址,E0190000001661002
足底血管畸形严重会引起头晕吗,咨询危害,E0190000002659006
谢谢，我是替别人问的，这没有图片，等我和他联系一下，再聊,确定联系意愿,E0190000006438013
成人。放射性腋下疼是血管瘤吗，肝内血管瘤会引起腹疼吗,咨询危害,E0190000006608002
像这种情况是不是该到你们医院去确诊一下呀,咨询公司介绍,E0200000001384008
可以不可以服西洋参老师？,咨询药物,E0200000003065009
写上没办法说嘛,无,E0200000005088023
降到399了吧,咨询优惠活动,E0210000003559025
哪个检查结果   是精子质量检测吗,咨询检查方式,E0230000000210012
请问一下子宫内膜厚,咨询项目介绍,E0230000001231005
我上个月，24来，这个月今天来，是不是提前了,描述生理现象,E0230000002182027
怎样才能长高,咨询治疗方式,E0010000000439002
我家小孩支气管肺炎,描述症状,E0010000000485003
你说多少,无,E0020000002515017
能给个数字吗,咨询价格,E0020000002966030
我打算等下个月经期的情况后再打算,确定联系意愿,E0030000002151033
每个周检查就行了是吧,无,E0030000002260024
还是直接到你们医院,确定联系意愿,E0030000002357026
您好，我排卵期与男友同房，射后脱了套没有洗继续，第二天补服了一颗避孕药，会怀孕吗,描述生理现象,E0030000002447006
应该不严重吧  我要治  但是我想问一下严不严重,咨询危害,E0030000002456022
快一星期下,描述就诊史,E0030000002930017
我是咨询会不会影响疫苗,咨询副作用,E0030000003935007
我这个页面截图一下，你后面是你的电话是吧,咨询电话,E0030000004031049
好的！谢谢！如果是性病是不是很严重,咨询危害,E0030000004066038
不会大出血吧,咨询副作用,E0030000004100018
多久需要复查呢,无,E0030000004262042
如果怀孕几天才能测出来,无,E0030000005218003
你好，我想问一下怀孕多久可以测出来,无,E0030000005873003
有孕囊的话是正常怀孕吗,描述症状,E0040000000172020
当天可走吗？,无,E0040000000614024
妇科病会不会引起腰肌疼痛,咨询危害,E0040000000704005
要是月经的话都流不出来,描述生理现象,E0040000002036013
取后多长时间能要孩子？,咨询恢复期,E0040000002799009
怀孕什么时候做手,无,E0040000002882003
正常最多差一天,无,E0040000003187024
那这里是不是免费咨询,咨询优惠活动,E0060000000356065
我打你手机好吗,咨询电话,E0060000001699010
b凝胶,咨询药物,E0060000003681015
好的，我加你，我用我老婆的微信,咨询微信,E0060000005040014
要面诊是吗？,无,E0070000000225009
有些怕手术,咨询治疗方式,E0070000002720018
好像已经很影响了,无,E0070000004752040
好的👌🏻我加你,咨询微信,E0080000001391034
听说云南白药根和生姜泡酒，擦，可以生发，是这样吗？,咨询治疗方式,E0080000002209019
/3433047862,确定联系意愿,E0080000002261027
这种手术要多久，一次,咨询疗程,E0080000003493023
公司电脑只能用企业QQ,无,E0080000003877031
那些中药可以治疗掉发,咨询药物,E0080000005106002
意思就是说去医院做检查？,咨询检查方式,E0090000000374018
以后有坏死的可能吗？,咨询危害,E0090000000973009
还没有，我先确定一下他是不是有问题，因为我也不太懂，而且不好冒昧跟他谈，怕伤害他,咨询项目介绍,E0090000001187023
不行的话我就换医院就行了···懒得说那么多···绵阳这么多医院可以做这种小手术···您说呢？,咨询公司介绍,E0090000003780021
对，明天拆线,描述就诊史,E0100000000590009
我手上有小十多处烟烫疤痕想彻底去除,咨询疗效,E0100000000827002
现在是平的，我怎么知道它什么时候会增生,咨询项目介绍,E0100000001507008
这可以和患者直接联系吗,无,E0110000001129031
半岁。先心病，唐氏儿。这几天持续高烧，还有多少希望,咨询疗效,E0110000001727005
我在等我的陪护人，他明天才能决定,确定联系意愿,E0110000002239025
都检查过没啥，可能是我胆子小引起的,描述就诊史,E0110000002614008
我们那里有好几个都有白癜风,描述症状,E0120000000328015
意思说连续几天做效果比较好是吧,咨询疗效,E0120000000714004
结果要多久,咨询检查时长,E0130000000307042
用盐水洗洗比较好一点,描述症状,E0130000002226018
以前不会这样。,描述就诊史,E0130000002606005
加微信通一下,确定联系意愿,E0130000003552003
在南坪那个位置,咨询地址,E0140000001519010
白内障手术不要钱啊,咨询优惠活动,E0140000003262002
以前也有过不过隔天就好了！我怀疑是我掏耳朵掏的比较狠的原因,描述就诊史,E0150000002745008
鼻炎会引起眼睛不适吗？,咨询危害,E0150000002836019
是不是鼻子有问题 我感觉我鼻子里面看的见的有几个包,咨询病因,E0150000003198010
哦，康医生,咨询专家,E0160000000879056
以前都不疼的   就是一按才疼   就今天有点疼,描述就诊史,E0160000001093031
那就不是1你们医院，是二道桥哪,咨询地址,E0160000001119098
还是检查一下吧,确定联系意愿,E0160000001261032
没带医保卡怎么办？,咨询支付方式,E0160000001605007
在微信上看一下吧,确定联系意愿,E0170000001255014
再说了 我也没有性交 也就是手淫  手淫也会怀孕吗？,描述生理现象,E0170000001353013
医生，像这种情况治疗会好快好么,咨询疗程,E0170000002092028
都说酸奶不能和柿子一起吃，喝了酸奶两小时后吃了柿子有问题吗,无,E0170000003477004
没注意，只是今天中午10点左右感觉有点抽着疼,描述就诊史,E0170000003614019
是我的孩子的，男，大约13岁,无,E0170000003616007
蓝黑色纹身能完全洗干净吗？谢谢,咨询疗效,E0180000000149004
满月了，外阴,描述症状,E0180000000714005
以前我跟你们有电话沟通过，一直我没有时间，我只确定不做其他检查就可以了,咨询检查方式,E0180000000852029
虎口哪里手上,描述症状,E0180000000885005
从左胸口长的大概长度6公分，宽度三公分，从小就有得,描述就诊史,E0180000000902009
你们那里能做无痛人流么？,咨询项目介绍,E0180000000920003
这种就是激光治疗吗？痛吗？,咨询疼痛程度,E0180000001132010
治疗后有痕迹？,咨询留疤,E0180000001273016
你发我手机上吧,确定联系意愿,E0180000001366011
钱也白花了罪也白受了,描述就诊史,E0180000002325028
有没得相应的图片发一张,无,E0180000002529006
你加嘛，我发单子给你,确定联系意愿,E0180000002958019
出汗不是能加快新陈代谢吗，脱后可以加速恢复,咨询项目介绍,E0180000003825004
请问我脸上的胎记可以去除吗？,咨询疗效,E0180000004226003
你们医院新农合可以报销吗,咨询支付方式,E0190000000966010
我想问下你们这合作医疗给报么住院,咨询支付方式,E0190000001292002
血管瘤能自己消退吗,咨询项目介绍,E0190000003592018
你们医院是独立病房吗,咨询公司介绍,E0190000006365015
静脉型血管瘤,咨询项目介绍,E0190000007939010
有说影响的有说不影响的，我们现在也不知道怎么办了,咨询副作用,E0200000002224023
我涂这个药好多了,描述就诊史,E0200000003180021
我就知道一种风寒湿,咨询项目介绍,E0210000000157012
一种新药,无,E0210000000693017
没办法呀，病急乱投医,描述就诊史,E0210000003421029
微信，麻烦了,咨询微信,E0210000004068008
你好！蒲公英泡茶能治疗痛风吗？,咨询食疗,E0210000004227002
我最近没时间去,确定联系意愿,E0220000000297025
柳大夫下午在吗,咨询上班时间,E0220000001107001
能刷市医保吗,咨询支付方式,E0220000001613007
可是我老婆预约的是星期三呀，那谁给看,确定联系意愿,E0220000001687006
这个应该不会骨折吧？,咨询危害,E0220000001717016
尾椎能做手术吗？,咨询治疗方式,E0220000002272005
最近我的左肩胛骨特别疼，有些肿,描述症状,E0220000002613003
强制性脊柱炎是不是去除体内的湿气也不会有多大问题,咨询危害,E0220000002828003
髋关节置换,咨询治疗方式,E0220000002840005
外地可以报医保吗,咨询支付方式,E0220000002977007
那根据结果报告呢,描述就诊史,E0220000003267019
你们这个大学生医保能报销不,咨询支付方式,E0220000003362002
老弟怎么肥事,无,E0220000003533003
门珍能报销吗,咨询支付方式,E0220000003540065
电话吧,咨询电话,E0230000000661007
要开刀,咨询治疗方式,E0230000000731017
卵黄囊一直长。但没胚芽,描述症状,E0230000001327017
另一次正常,无,E0230000001505011
现在吗,无,E0230000001711029
子宫内膜厚会月经好几个月才来一次不会影响以后生育,咨询危害,E0230000001943001
我了解到宫腔粘连很容易复发,咨询疗效,E0230000002268062
典油还是典水,咨询药物,E0230000002921049
鞍山的，身体很好，经常体育运动。,描述症状,E0010000000009009
请问招聘康复治疗师吗？,无,E0010000000016002
这种情况有半个月了,描述就诊史,E0010000000112008
那得怎么治疗,咨询治疗方式,E0010000000112011
吃点中药可以吗？,咨询药物,E0010000000130018
在生产过程中也没有出现什么问题,无,E0010000000235024
没控制住，几天就发烧一次,描述症状,E0010000000292005
13940574363。这是我微信号,确定联系意愿,E0010000000325015
做高铁到沈阳哪个站下车,咨询路线,E0010000000332011
发育很正常,描述症状,E0010000000562011
刚才微信加上了,确定联系意愿,E0010000000703026
他就是抻脖发脾气时抽肚子，心平气和时不蘋繁,描述症状,E0010000000709007
是不是近视了,咨询项目介绍,E0010000000767016
什么营养都缺，是不是有原因,咨询病因,E0010000000795007
尿道有炎症？,咨询项目介绍,E0010000000874010
好，我把您的微信号码给她发过去，我在替别人咨询呢,咨询微信,E0010000000961025
我妈展示么店通辽市内蒙古自治区克尔近二战,无,E0010000000973027
抽动症可以自愈吗？后果严重吗？,咨询危害,E0010000001069015
多少钱吧,咨询价格,E0010000001100031
从手术前就这样,描述就诊史,E0010000001168012
医生你们现在正常上班了吗？？？地址在哪,咨询地址,E0010000001168030
你们哪里查癫痫，竟查什么,咨询检查方式,E0010000001185022
他这什么毛病,咨询项目介绍,E0010000001226018
在的，我明天没时间，我什么时候去在联系,确定联系意愿,E0010000001255030
我在添加您的微信,确定联系意愿,E0010000001257032
现在一米五,无,E0010000001301006
怎样能提升他的注意力,咨询治疗方式,E0010000001327014
呃想再长高点。,无,E0010000001363002
自闭症,咨询项目介绍,E0010000001383020
排便能不能排出来,无,E0010000001459013
想了解为什么会得膀胱炎,咨询病因,E0010000001534008
孩子铅高50应该怎么办,咨询治疗方式,E0010000001611000
不需要住院治疗吧,咨询住院,E0010000001623018
怎么能减掉,咨询治疗方式,E0010000001628005
也没有感冒,描述症状,E0010000001686006
就检查微量元素就可以吗，用给腿拍照片吗,咨询检查方式,E0010000001771013
我现在一直用自慰器有坏处吗,咨询危害,E0010000001792043
孩子总是眨眼怎么回事啊,咨询病因,E0010000001797002
我妈问预约花钱吗？,咨询价格,E0010000001847003
我就是那个孩子,无,E0010000001960017
这情况是不是跟饮食有关,咨询病因,E0010000002002009
有没有就是助于他消化的啊一些方法,咨询治疗方式,E0010000002058008
在医院检查一下有点缺锌有关系吗？,咨询病因,E0010000002150007
你好，我家男孩11周岁了，骨龄发育迟缓怎么办呢,咨询治疗方式,E0010000002230002
吃五维赖氨酸可以吗,咨询药物,E0010000002299012
是幼稚还是智障呢,咨询项目介绍,E0010000002341007
就是自己一个人玩,描述症状,E0010000002374015
吃的是静玲口服液和昌嘛西风片,描述就诊史,E0010000002387010
孩子六岁，语言法育迟缓，在当地的语言康复机构矫正，但他语言理解能力还是不行，家里人说的指令能理解，但玩早教游戏，电话里发出的指令就听不懂，他对具体实物类和操作类的东西理解的很快，抽象的东西就不行，有什么好办法针对训练么？,咨询治疗方式,E0010000002438002
大腿根位置,描述症状,E0010000002439005
你好我家孩子十岁男孩现在总眨眼睛偶尔还摇脖子什么情况,咨询项目介绍,E0010000002471001
孩子10岁，最近总是不自觉的晃头,描述症状,E0010000002486002
这套检查需要多少钱,咨询检查价格,E0010000002499024
孩子晚上哭闹咋办,无,E0010000002621001
方便  接听15710588927,确定联系意愿,E0010000002628013
四个月的婴儿受凉拉肚子怎么办,咨询治疗方式,E0010000002629005
去过，医生说孩子太小不建议做检查，让喝益生菌多喝水,描述就诊史,E0010000002686012
发烧超过38，5度是不是就得喝退烧药啊,咨询治疗方式,E0010000002709037
拉拉尿是年前,描述就诊史,E0010000002805017
8岁男孩正常身高体重多少,无,E0010000002827002
儿童自闭可以治疗吗,咨询项目介绍,E0010000002934004
现在做手术不太好吧？,咨询治疗方式,E0010000003107009
为什么会插不进去,咨询病因,E0010000003190012
我家女孩七岁现在乳房有点发育了，有小拇指盖大小的硬块，不疼，怎么办啊,咨询治疗方式,E0010000003240004
还不知道呢，今天又拿长春去检查了，结果出来再吃药，有什么好方法吗,咨询治疗方式,E0010000003287018
谢谢啦，如果孩子得了神经性抽动症该怎么治疗,咨询治疗方式,E0010000003293020
假性近视,咨询项目介绍,E0010000003294004
前一年的时候有眨眼，随后出现的这些问题,描述就诊史,E0010000003345003
男孩，四周岁,无,E0010000003350004
孩子说嗓子紧喘气不舒服怎么回事,咨询病因,E0010000003362001
孩子3岁不会说话，是什么原因？谢谢了,咨询病因,E0010000003375001
咱们医院指定能治好吗,咨询疗效,E0010000003403019
请问一下，14孩子的正常鞋码是多少啊？,无,E0010000003579002
吃的钙片,描述就诊史,E0010000003596009
好的，年前1月份我给孩子吃货打虫药，因为晚上总磨牙，后来好了。请问医生肠虫清一般多长时间可以吃一次，像我家孩子这么大的？,咨询疗程,E0010000003661013
你们有没有学生价或者医保可以用,咨询支付方式,E0020000000057053
铁的那种吗,无,E0020000000065021
没有办法哦，星期天有时间,确定联系意愿,E0020000000100021
牙套一般多少钱一个呢。,咨询价格,E0020000000163023
你先把价格发给我看看吧,咨询价格,E0020000000167032
就我的就行,无,E0020000000185026
有没有人拍照片给你看,无,E0020000000231034
就是牙齿照片,无,E0020000000231036
上周去了海沧的玲珑口腔医院，说建议做根管治疗，已经帮忙打开上药了,描述就诊史,E0020000000259018
都没有固定的收费。医生说多少就是多少。让人想象不到。,咨询价格,E0020000000380036
大概后天早上可以,确定联系意愿,E0020000000429020
怎么洗比较好,咨询治疗方式,E0020000000485009
你们广告的隐适美，这种要矫正多久,咨询疗程,E0020000000494018
洗牙是什么价格呢,咨询价格,E0020000000500030
晚上有上班吗,咨询上班时间,E0020000000516003
二氧化锆？,无,E0020000000557040
不知道你们医院的位置,咨询地址,E0020000000665027
想了解一些问题啊,无,E0020000000673004
我想先了解下价格，谢谢,咨询价格,E0020000000736024
这个是客服还是医生呢,无,E0020000000784037
是三医院吗？,咨询公司介绍,E0020000000795005
种植牙优惠以后多少钱一个,咨询优惠活动,E0020000000866003
我得了扁平苔藓，可以种植牙吗？,咨询项目介绍,E0020000000950003
苏彩玲 18859271537,确定联系意愿,E0020000000962009
是莲板那吗,咨询地址,E0020000000971023
预约了是就有指定的医生还是去了安排,确定联系意愿,E0020000000980061
做这个。需要多久,咨询疗程,E0020000001065021
我的微信号： tianqi858,确定联系意愿,E0020000001099010
没关系，我直接去吧，谢谢,确定联系意愿,E0020000001120031
洁牙时间会多长,咨询疗程,E0020000001131021
这个的话要疼多久,无,E0020000001146011
想了解矫正这块的特价 跟优惠,咨询优惠活动,E0020000001176010
隐适美大约多少钱？,咨询价格,E0020000001190002
每天下午3点之前都可以,确定联系意愿,E0020000001210031
我听说有个喷砂洁牙，只要138的活动,咨询优惠活动,E0020000001241004
陈良艺+18050051041,确定联系意愿,E0020000001270008
可是我这个都已经伤的神经了，只要一吃东西掉到牙洞里就特别疼，所以的不敢用另外一边吃东西,描述症状,E0020000001278009
没有检查过，我的蛀牙有好多，其他几颗的空，或者是掉了，但是另外一颗空的只要一碰到里面就特别疼，,描述就诊史,E0020000001278013
没有。就是有点斜。想换一颗 整齐的,咨询项目介绍,E0020000001290013
下午尽量晚一点  我这边要请假,确定联系意愿,E0020000001389010
容易塞东西,描述症状,E0020000001473007
您帮我预约明天5点左右的吧,确定联系意愿,E0020000001527038
我预约两个人可以不？,确定联系意愿,E0020000001539012
智齿一定要拔吗,咨询项目介绍,E0020000001541003
那么久，4点可以约得到吗,确定联系意愿,E0020000001555015
补一颗门牙多少钱,咨询价格,E0020000001667002
医保可以用么,咨询支付方式,E0020000001669020
不知道是不是水土不服,咨询病因,E0020000001687014
一般拔完牙要多久會好,咨询恢复期,E0020000001707027
你们医院有这门手术吗，,咨询治疗方式,E0020000001716011
微信号同,确定联系意愿,E0020000001747013
你们那里有没有医保卡充值点,无,E0020000001748018
不用电话号码吧，查这个还要电话号码吗？我不想太多电话打给我,确定联系意愿,E0020000001752017
你不打，别的会打啊，首页不是有100的代金卷11.8的吗,咨询优惠活动,E0020000001752020
你打电话过来吧现在方便通话了,确定联系意愿,E0020000001753025
请问，漳州的医保厦门可以使用吗？,咨询支付方式,E0020000001802006
牙齿矫正需要花费多少,咨询价格,E0020000001817003
还要拍片吗,咨询检查方式,E0020000001873022
下午吧！,确定联系意愿,E0020000001881038
植牙多少钱,咨询价格,E0020000001894002
嗯，价格表信息发个给我看看,咨询价格,E0020000001927029
请问可使用IC卡看牙吗？,咨询支付方式,E0020000001965004
好的~我周末有时间就过来哈,确定联系意愿,E0020000002111031
最快的需要多久呢？,咨询疗程,E0020000002127013
进口的是多少钱啊,咨询价格,E0020000002188023
宣传广告说有免费或打1折的种植牙，是否真实,咨询优惠活动,E0020000002194012
忘记了，年纪比较小,无,E0020000002236011
填补的话牙齿形状能和原来一样吗？？因为在做隐适美所以怕戴不上牙套,咨询疗效,E0020000002252010
我在金山,无,E0020000002258010
登特斯种植体好，还是登腾的好，区别呢？,无,E0020000002262003
如果可以的话，周六就来,确定联系意愿,E0020000002263034
已经掉的差不多了,描述症状,E0020000002293014
厦门站噢  不是厦门北对吧,咨询路线,E0020000002353027
长在最里面，下面那排,描述症状,E0020000002469010
深覆合纠正费用差不多多少钱?,咨询价格,E0020000002484002
根管治疗要几次能做好,咨询疗程,E0020000002506002
牙齿掉了怎么办,咨询治疗方式,E0020000002530002
你好医生，我家小孩昨晚牙痛了一夜哭一夜！饭也吃不了,描述就诊史,E0020000002559003
矫正 咬合,咨询项目介绍,E0020000002630013
一针麻药可以看几颗牙齿，貌似我还有几个小洞，我想一起补好,咨询麻醉,E0020000002632031
喷砂后要抛光吗？,咨询治疗方式,E0020000002644024
那我约周三晚上的,确定联系意愿,E0020000002661020
你医院可以刷医保卡吗？,咨询支付方式,E0020000002667003
尽快吧，今天下午可以吗,确定联系意愿,E0020000002696010
那平时不在这边该怎么办,无,E0020000002699015
何女士15705929764,确定联系意愿,E0020000002755020
我牙齿问题挺多的，牙周炎怎么治,咨询治疗方式,E0020000002759022
但是要拔四颗,咨询项目介绍,E0020000002777007
王小姐，15345983993,确定联系意愿,E0020000002787027
上火怎样才能好,咨询治疗方式,E0020000002796006
就是一年要去换好几套牙箍那种，,无,E0020000002800004
请问拔智齿是要预约吗,确定联系意愿,E0020000002805003
你们医院是在哪啊？我在翔安区这边冠捷科技,咨询地址,E0020000002809010
你是厦门哪家,咨询公司介绍,E0020000002816008
我看你们微店还有一种微创果味喷砂洁牙,咨询项目介绍,E0020000002879043
有那些治疗方案？,咨询治疗方式,E0020000002903005
那烤瓷牙便宜的一个多少，中等的还有贵的又是多少,咨询价格,E0020000002926062
哦，我想了解下，就是你们那个纳米树脂是哪里的,无,E0020000002933007
明天任意时间都可以,确定联系意愿,E0020000002983006
该天吧！今天没时间,确定联系意愿,E0020000002985020
是根据矫正价格而定的分期次数么,咨询支付方式,E0020000003042009
我最怕弄牙齿,无,E0020000003043066
不知为何,咨询病因,E0020000003046005
张医生那我什么时间去找你方便,确定联系意愿,E0020000003194013
等厂里放假吧,确定联系意愿,E0020000003208037
我能不能预约改去角滨路口那边免费咨询检查一下,确定联系意愿,E0020000003234003
那预约明天晚上六点吧,确定联系意愿,E0020000003250010
是啊 如果价格和各种方面合适的话 想两个人一起去做,咨询价格,E0020000003342007
收到了  隐形矫正都要1万3起步吗？,咨询价格,E0020000003342024
电话跟姓名吗？,无,E0020000003348037
问一下你们做一个种植牙多少钱,咨询价格,E0020000003349003
海沧新垵,无,E0020000003461008
可能得过段时间去整,确定联系意愿,E0020000003502020
你们医院是在什么地方？,咨询地址,E0020000003544013
是专门拔牙的医生吧？,咨询专家,E0020000003556023
伤口愈合估计要一个星期,咨询恢复期,E0020000003582043
请问你们湖滨南路店的电话多少？,咨询电话,E0020000003617003
福州有分公司吗,咨询地址,E0020000003629014
一般做完矫正前几天是不是不能正常吃东西？,咨询注意事项,E0020000003641049
这个可以拔吗？,咨询项目介绍,E0020000003674011
那家离莲花路口近,咨询地址,E0020000003696042
地扯在哪,咨询地址,E0020000003715014
矫正周期大约多久,咨询疗程,E0020000003719014
牙齿松动的厉害还能治疗吗？,咨询项目介绍,E0020000003728003
你们美白牙齿多少钱,咨询价格,E0020000003766003
矫正牙齿价格多少？,咨询价格,E0020000003785002
用吸管的那种是吧？,咨询治疗方式,E0030000000000010
昨晚同房，我现在不知道我有没有怀孕，但是我不想怀孕，现在可不可以吃避孕药,咨询药物,E0030000000041009
好的，要专家,咨询专家,E0030000000483037
能加微信的话就加yy6222016,确定联系意愿,E0030000000950001
你好请问下孕妇三个月上厕所出现了两点血会不会有事,咨询危害,E0030000000958006
为什么每个月月经都推迟,咨询病因,E0030000001103003
从哪里预约？,确定联系意愿,E0030000001170021
用药效果会怎么样,咨询药物,E0030000001379026
说是纤维瘤,描述就诊史,E0030000001386014
13529191065我微信,确定联系意愿,E0030000001395021
一般都是一个星期,无,E0030000001411008
姓施 超导可视无痛人流 保宫微管可视 还有保宫双腔,咨询治疗方式,E0030000001725009
等一会我去复查看看,确定联系意愿,E0030000001752032
怀孕初期有白带是怎么回事呢,咨询病因,E0030000001775003
停经10天什么原因,咨询病因,E0030000001821004
12月20几左右,无,E0030000001917008
好的，谢谢，等周末去医院看看,确定联系意愿,E0030000001947018
你看有用吗,咨询疗效,E0030000001950038
请问一下同房后出血怎么回事,咨询病因,E0030000001965003
你们那边人流前都要做那几样检查,咨询检查方式,E0030000002134024
早孕多久可以查得出来,无,E0030000002151004
有时候月初有时候月中或者月末,描述生理现象,E0030000002340012
需要做一些什么检查？,咨询检查方式,E0030000002632016
痒了怎么办,咨询治疗方式,E0030000002684003
但是我吃药也吃也多是怎么回事,咨询病因,E0030000002714016
怎样检查乳房是否健康,咨询检查方式,E0030000002742003
童小雨 15208716107,确定联系意愿,E0030000002803037
我现在在上班要过年才会放假，检查也怕是要过完年的事了,确定联系意愿,E0030000002832021
春节后可以吗？,确定联系意愿,E0030000002916035
那我这个年前比年后好做是吗,无,E0030000003004023
怀孕了打了要多少钱呢,咨询价格,E0030000003016028
药流全部费用是多少，含检查费用？,咨询价格,E0030000003057071
咋个检查,咨询检查方式,E0030000003134016
问一下做人流之前能吃东西？,咨询注意事项,E0030000003152006
九点左右过来可以吗？,确定联系意愿,E0030000003269017
好的，你先帮我约上看吧。是哪个医生在,咨询专家,E0030000003308027
我想这个是尽早做好是吗,无,E0030000003313037
怎么走,咨询路线,E0030000003356002
每个月经都推迟是什么原因？,咨询病因,E0030000003393005
这个把月,描述就诊史,E0030000003416006
医院地址在哪里啊,咨询地址,E0030000003640015
如果是三号来的月经八号结束的在去掉安全期，二十二号感冒吃的药，二十七号爱爱了，如果是怀孕了这样的话会影响胎儿健康的着床吗？,咨询危害,E0030000003691027
武菲菲13529222979,确定联系意愿,E0030000003753016
那要用什么药物,咨询药物,E0030000003756019
上周二用早孕试纸测试结果早孕，但是今天又有来月经的迹象，是怎么回事？而且上月是14号来的月经18号结束,咨询病因,E0030000003831005
我是过了4，5个月才来,无,E0030000003854020
我想问一下药流多少钱,咨询价格,E0030000003877006
什么是早怀孕试纸,无,E0030000003927023
宫颈糜烂二度做了TCT没问题，还需要用凝胶吗,咨询药物,E0030000003996005
好的👌谢谢🙏如果要做我又联系你 谢谢🙏,确定联系意愿,E0030000004163017
我小候做过爱，上个月和男朋友舌吻好几次，这个月月经还没来，白带比往常少了很多会不会怀孕,描述生理现象,E0030000004410008
嗯，我这久就是白带有点多,描述症状,E0030000004454032
安环多久？,咨询疗程,E0030000004572005
妇科检查是做一项还是多项,咨询检查方式,E0030000004590003
上个月都没有来,描述生理现象,E0030000004616006
早孕测试纸一般怀孕多久能测试出来,无,E0030000004634006
这个费用有点贵,咨询价格,E0030000004706024
记得你医院的,无,E0030000004827031
我今早用验孕棒检查没有怀孕   这是怎么回事,咨询病因,E0030000004844006
知道，我家两胎都在你们医院做的,描述就诊史,E0030000004960011
你好，你们人流手术多少钱,咨询价格,E0030000005108003
你好，怀孕四个半月，擦拭尿液有血,描述症状,E0030000005116004
加了，你没答应,确定联系意愿,E0030000005133020
做个全面检查费用高吗,咨询检查价格,E0030000005153029
这两个做下需要多少费用,咨询价格,E0030000005231032
