dialog_id,sentence_id,role,sentence,intent
495,31,CLIENT,好的，那是挂哪个专家号吗？有针对性哪位专家吗？,咨询专家
513,8,CLIENT,请问洗头时候能用棉球塞住耳朵吗？,无
523,9,CLIENT,有什么办法防治吗？,咨询治疗方式
563,24,CLIENT,感觉都是恶性的，还会病变,咨询危害
580,4,CLIENT,现在半边脸没知觉,描述症状
586,15,CLIENT,请问您在哪,咨询地址
743,14,CLIENT,大概多久能恢复正常,咨询疗效
786,1,CLIENT,请问我经常闻不到味道,咨询病因
872,7,CLIENT,像个气球吹气,描述症状
886,2,CLIENT,小孩耳朵里塞了个假花的花瓣,描述症状
889,13,CLIENT,您分析怎么办？,咨询治疗方式
932,4,CLIENT,下午王齐峰在吗,咨询专家
942,36,CLIENT,去你们那治疗可以报销吗,咨询检查费用
975,13,CLIENT,你们这个是专科医院吧？,咨询公司介绍
1007,18,CLIENT,你的是多少，我加你,咨询微信
1017,24,CLIENT,医保看到一仟可以打折你们医院打折吗,咨询价格
1026,2,CLIENT,耳鸣如蝉己数十年,描述症状
1038,2,CLIENT,徐其昌主任今天在吗,咨询专家
1134,29,CLIENT,到中华门地铁站吗,咨询路线
1152,4,CLIENT,什么签售？,无
1158,4,CLIENT,我去你处，从君望墅如何走,咨询路线
1204,20,CLIENT,你那热线能打吗,咨询电话
1217,26,CLIENT,我开车来吧,咨询路线
1340,35,CLIENT,在哪,咨询地址
2007,36,CLIENT,是民营医院吗？,咨询公立私立
2016,9,CLIENT,一般这个不会误症吧,咨询危害
2030,2,CLIENT,几级几等,咨询公司介绍
2045,29,CLIENT,有沒有機會好？,咨询疗效
2134,15,CLIENT,什么处方伐,咨询药物
2266,2,CLIENT,uppp手術，成功率醫生說只有50%,咨询动刀
2266,14,CLIENT,了解下差價,咨询价格
3321,12,CLIENT,挂什么科呢,咨询检查方式
3352,30,CLIENT,南京哪里,咨询地址
3360,3,CLIENT,周永康  18   17551038290   预计四点二十左右到达   耳科专家,确定预约时间
3424,19,CLIENT,怎么调理,咨询食疗
19663,29,CLIENT,工作是机械加工，公司里空气质量差，而且经常需要加班,无
19664,11,CLIENT,之前在医院也洗过一次，后来拿一点药洗了，之后还是痒,描述就诊史
19665,12,CLIENT,这是怎么回事呢？,咨询病因
19666,1,CLIENT,鼻炎怎么缓解,咨询疗程
19666,19,CLIENT,我只是还有一个问题,无
