sentence,intention
电话更不想,确定联系意愿
电话沟通吧 ?这回有点忙 ? ?明天上午吧,咨询电话
电话号码可以吗,咨询电话
电话了解下,咨询电话
电话李说吧,咨询电话
电话里说，你打我的,确定联系意愿
电话聊,咨询电话
电话说,咨询电话
电话说吧,咨询电话
电话问题的状态只可以接。,确定联系意愿
东直门中医院，特需专家男科,无
东直门中医院，特需专家男科,无
懂了。。。我现在没办法去检查怎么办，我在留学，放假还要很久,确定预约时间
动手术延长增粗后还能进行性生活吗？,咨询后果
都没有，就是上班。不能睡觉，两个人一个班,无
都没有怀孕,无
都是第一次,描述症状
都是男医生吧,无
都是男医生看吗,无
都是治疗的时候效果可以，过段时间就不行了,描述就诊史
都是中药材，叫什么我也不清楚,咨询药物
肚子左边疼，不动不疼怎么回事,咨询病因
短息收到了！专家下午几点下班,咨询上班时间
对，303路,无
对，第一次,无
对，对那事没心情,描述情绪
对，就是，那检查看需多少钱？,咨询价格
对。不行找长虹医院他那有病历,描述就诊史
对啊 所以现在赶紧上来咨询,无
对了??检查一次需要多少钱,咨询价格
对了您是男医生吗,无
对忘记，你们医院已经看了，,描述就诊史
对药物治疗，和用仪器治疗,咨询治疗方式
对着肚脐位置,描述症状
多吃点牛羊肉就不疼了,无
多久可以恢复啊,无
多久能好，费用多少,咨询价格
多久能恢复??多少钱,咨询价格
多少钱的检查,咨询价格
多长时间就可以恢复了呀？,咨询治愈时长
多长时间能恢复正常,咨询治愈时长
多长时间能治好，大概多少钱,咨询价格
多长时间能治疗好????得多少钱呢,咨询治愈时长
额，但是啪啪啪好像并没有影响,描述症状
呃，那我查北京三甲医院怎么没看到曙光医院啊,咨询公立私立
恩好的，打扰你了，你也早点休息吧,无
恩谢谢医生，我是夜斑班完了我看怎么的去,确定预约时间
嗯?那就qq说吧,咨询QQ
嗯， 那要怎么治疗呢，大概要多长时间能好,咨询治疗方式
嗯，好的，。有时间我去检查下,确定预约时间
嗯，可能是这个原因,无
嗯，那检查费用呢,咨询检查
嗯，那检查费用呢,咨询价格
嗯，那找个女医生看吧，看看女的治疗怎么样,咨询专家
嗯，你5分钟打吧,无
嗯，平时应该注意些什么，不行在联系您去看看,确定联系意愿
嗯，想彻底治疗好,咨询疗效
嗯，谢谢。主要有点担心起反作用,咨询后果
嗯，性生活几分钟射精呢现在,无
嗯，性生活几分钟射精呢现在,无
嗯嗯???不用和他们聊??看下他们简介??这个医院都是公开的,无
嗯嗯，行，1760016****是你的电话吗？,咨询电话
嗯嗯，咱们医院做个检查的费用是大概多少钱,咨询检查
嗯嗯，咱们医院做个检查的费用是大概多少钱,咨询价格
嗯呢，但是我咋看咱们网上评价不太好呢，说咱们乱收费，乱检查治疗,咨询公司介绍
嗯呢，加过医生,确定联系意愿
嗯呢呗[尴尬],无
嗯呢不上班，但是一会儿有个活动，,无
嗯是的上官医师,无
嗯他不知道我觉得他挺避讳谈这个话题了,描述情绪
而且手淫很频繁,无
而且休息几天就会好,无
而且药开贵了啊,咨询价格
二环那边检查下来要花多少钱,咨询价格
发过去你明天让主任看看啥情况,无
反正就想在持久一点,咨询项目介绍
房事几个月前有,描述症状
房事正常吧，没有很频繁,描述症状
费用大概多少，都哪些检查,咨询检查
费用太黑了，没看,描述就诊史
分几次,无
分开了会不会有什么大问题,咨询后果
丰台医院叫什么名啊,咨询公司介绍
冯主任你好，在白忙之中想请你咨询一下病情，你是中国泌尿的专家，夲人是折磨十年病疼的一位患者，从青海这个遥远的地方求医问药，恳请你的指导建议为盼！,描述症状
否治疗吗？,咨询项目介绍
附睾精液囊肿手术不好做吗？三级医院敢拿病人生命开玩笑吗？,咨询项目介绍
附睾精液囊肿手术不好做吗？三级医院敢拿病人生命开玩笑吗？,咨询项目介绍
附近的三甲医院,无
附近没有地铁,无
附近有宾馆么,无
腹股沟疼怎么回事,咨询病因
该怎么做或者吃什么药,咨询治疗方式
改天休息我去,确定预约时间
肝肾功能，血压血脂血糖，凝血功能，胸片心电图，泌尿生殖系统的体检这些一共多少钱,咨询检查
感觉很是憋得慌,描述症状
感觉是心里的想想,无
感觉自己做这个总是有点急的那样,描述症状
感冒发烧几乎没有,描述症状
感染的话?休息一段时间会不会好,无
感谢安大夫的指点。,无
刚才还性生活了,描述症状
刚才那个医生呢,咨询专家
刚才有点事不好意思,描述情绪
刚才有个医生再聊呢，找不到了呢,咨询专家
刚打电话了,无
刚发现,描述症状
刚刚不是那位医生吗？,咨询专家
刚刚发现的,无
刚结婚的时候还射精呢,描述症状
刚开始就是这样,描述症状
刚做完包皮手术，请问术后几天可以洗澡,咨询治愈时长
肛门能感染什么啊？,咨询项目介绍
搞的我无语了，他自己都不当回事,描述情绪
告诉什么医院明天我过去看看,咨询公司介绍
哥，你是不是之前给我打电话的工作人员？因为我刚才又咨询了其他医生，他说的情况跟你完全说的不一样。,描述就诊史
哥哥你现在方不方便回电话，因为我前两天你跟我，你我之前有咨询，你都没有跟我回，我也有点着急。,咨询电话
哥哥我有个问题想咨询一下，麻烦你给我回电话好吗？谢谢你，我昨天有咨询过，但是你们医生又说文凭不一样，但是今天我又很不舒服。,咨询电话
割包皮第二天上班方便么,咨询治愈时长
割包皮需要多久恢复，需要多少费用,咨询价格
割包皮需要休息几天,咨询治愈时长
割包皮有什么好处,咨询项目介绍
割个包皮会不会好点,咨询疗效
割了能直接上班么,咨询治愈时长
割下一块皮能没有疤痕？,咨询后果
隔半个月做一次还是少，有时候都没有,描述频率
隔几天就洗一洗，不痒了就变成像红肿一样，擦皮了似的，是不是因为挠的？,咨询病因
给果冻是的,描述症状
给没治疗前一个样,描述就诊史
给你啊，给你添麻烦了，因为我这个情况确实比较有点紧张，也不知道这个问题，好多的医生说的方法都不太一样。,描述就诊史
给你说过了，就按供血不足治疗好了,描述就诊史
给伟哥药慢慢来调里补肾科利,咨询药物
给我说在什么路上就可以了,咨询地址
给我治疗的主任,咨询专家
根部含在肉里，用把尺子顶到根部么？,描述症状
跟父母也不好意思说这个问题，这不才来寻找办法,描述情绪
跟我说下吃什么好，因为没法治工资没发，医生好人做到底，指点下我去外面买下，谢谢了,咨询食疗
跟媳妇俩周见一次面??你懂得,描述频率
公交车铊,无
估计你们医院也没有医生了吧,咨询专家
挂号不都一样么？我先在附近检查一下，有大问题在找专业的医院,咨询挂号
挂号时间是几点？,咨询挂号
挂专家号,咨询专家
挂专家号,咨询专家
管用不影响生育不,咨询后果
广西河池曙光医院，是你们连锁机构吗？,咨询公司介绍
龟头敏感治疗 疗程需要多久 大概多少钱 治疗后是什么效果,咨询价格
龟头敏感治疗 疗程需要多久 大概多少钱 治疗后是什么效果,咨询价格
贵,咨询价格
贵院不是医保定点医院，不知在贵院看前列腺病，医保能报一些吗,无
国内最大专家在哪个医院？,咨询专家
国内最大专家在哪个医院？,咨询专家
过度手淫能恢复吗。,无
过段时间能回复吗？,无
过几天过去,确定预约时间
过几天会消失,无
过几天我去检查下,确定预约时间
过几天准备手术,确定预约时间
过了几天就好了，恢复正常了是好了吗,无
过两天就上班了。,无
过两天看情况！感觉是熬夜的问题，要是不熬夜了它会好吗,无
过去当天挂号，检查做不了吗？,咨询检查
过去检查一下再说吧,确定预约时间
过日我号码,无
过一阵子就好了,无
过长,无
还会复发,无
还没检查?就是结婚时间久了还没小孩,描述就诊史
还没有切除，准备做这个手术,无
还没做?考虑一下上班时间,确定预约时间
还能变长吗,咨询项目介绍
还能恢复吗,无
还能长长吗,无
还怕打湿了,描述情绪
还是补片产品决定价钱,咨询价格
还是刚才的医生么?,咨询专家
还是过几天就好起来了，,无
还是我联系你吧,确定联系意愿
还是这个号码把,咨询电话
还有大夫值班是吗,咨询专家
还有大夫值班是吗,咨询专家
还有割包皮多久能好，多钱,咨询价格
还有救吗，,咨询疗效
还有什么中途软？不懂,咨询项目介绍
还有什么中途软？不懂,咨询项目介绍
还有一次是必力劲,描述就诊史
还有一种叫一次性,无
还有做完手术我还能上班吗,咨询治愈时长
孩子每隔五分钟尿一次，别的症状没有,描述频率
行??如果保证能看好??我跟他说直接去??或者联系你,咨询疗效
行吧  有空去检查一下,确定预约时间
行吧，我坐地铁过去,无
行加我qq吧,咨询QQ
行我去加你,确定联系意愿
航天医院和北大医院,无
好，就是这个电话是吧！,咨询电话
好，就是这个电话是吧！,咨询电话
好，你发来我截图吧,无
好，我知道了，一两天我过去吧，做全套性病检测吗？,咨询检查
好。你加我qq,确定联系意愿
好吧??谢谢啦??我去之前打电话给你,确定联系意愿
好吧，谢谢了，不方便留电话，拜拜,确定联系意愿
好吧，找医生复查后再说吧,无
好吧，知道了，明天我去做检查,确定预约时间
好吧，知道了，明天我去做检查,确定预约时间
好的??那咱们医院在哪?直接挂号男科就行是吗,咨询地址
好的?谢谢?去的时候联系你,确定联系意愿
好的，当天可以出院，坐车吗？,无
好的，明天过去给你打电话,咨询电话
好的，你电话多少，天亮了十点我给你电话现在不方便，1774458****,咨询电话
好的，我记了，我和先生沟通下，，，，过段时间再联系，是您治疗，还是另有医生？,咨询专家
好的，我看看什么时候去,确定预约时间
好的，我去医院看看吧，谢谢大夫,确定预约时间
好的，我去医院看看吧，谢谢大夫,确定预约时间
好的，我要上班了，您也早点休息吧,确定联系意愿
好的，谢谢，我再考虑考虑，能加个QQ吗？需要做的话联系你,咨询QQ
好的，验血前有什么不能吃的么,咨询检查
好的，这个同济医院怎样？本地有一个,咨询公司介绍
好的。是男的给我检查吗？,无
好的。谢谢，决定了，再联系。,确定联系意愿
好的不好意思啦我太着急了。媳妇刚才怀疑我再外面有别的女人了,描述情绪
好的太晚了。谢谢，我回家再咨询您，开车,确定联系意愿
好的魏医生有空时就打给您,确定联系意愿
好的问了在去您那里看看能治吗,咨询项目介绍
好的谢谢您，有时间去挂个号,确定预约时间
好多年了，我加你,咨询微信
好几次了。?但不是经常有,描述频率
好几年前有过一次，这次是第二次,描述频率
好几天了,无
好几星期了吧，我一直不在意,描述症状
好了谢谢了，那我的上医院看看去,确定预约时间
好难受呀,描述症状
好我过几天去,确定预约时间
好我记你电话去了给你联系,咨询电话
好像是什么第一传染病医院,咨询公司介绍
好像说敏感神经多,描述症状
好谢谢你！医生，他说这两天忙过去看,确定预约时间
好治吗？多久可以恢复？,咨询治愈时长
好治吗大夫，你们十月一放假吗？,咨询上班时间
好治愈吗,咨询疗效
好治愈嘛,咨询疗效
好治愈嘛,咨询项目介绍
号码,咨询电话
呵呵,无
喝豆浆没有副作用吧,咨询后果
喝酒，不过不怎么喝,咨询食疗
喝酒比熬夜房事都比较平凡,描述频率
喝泡酒关用吗,咨询食疗
喝水多了就会一会儿小便一次,描述频率
喝完酒最多坚持3分钟,咨询食疗
何会远?帮问下??如果不回复我??给我份检查结果?我去别的医院,无
和您进行对话..?北京阴经增长增粗手术,咨询项目介绍
和女朋友肛交过一次，就一次，也是唯一的一次,描述频率
河北衡水协和医院,无
很多医院也光忽悠人,咨询公司介绍
很想治疗,无
后悔了后悔了。,描述情绪
后来发展出现这样的,描述症状
后来慢慢这样的,无
后来形成的,描述症状
后来一查都是私人的,咨询公立私立
怀孕了会导致胎停吗？,咨询后果
换电话了,无
换药还是去做手术的地方吗,无
换药是每天一换,无
黄大夫发名片,咨询专家
黄精可以泡茶喝吗它治疗什么,无
恢复差不多了,描述症状
恢复的几率大吗,无
恢复期不同吗？分这么多,咨询治愈时长
恢复期和术后恢复有什么问题吗,无
恢复期这么快的吗,咨询治愈时长
恢复时间能上班么,咨询治愈时长
恢复时间要住院么？,无
会不会伤害到了,咨询后果
会不会是第一次太紧张,咨询病因
会不会是手术有缺陷,咨询病因
会出血吧,咨询后果
会传染给媳妇，那媳妇能治好吗,咨询疗效
会传染吗,咨询传染
会反弹吗我看网上说治疗好了一段时间又反弹了比之前还重了,咨询疗效
会死人吗？,咨询后果
会有什么问题呢,咨询后果
婚前体检多少钱,咨询检查
或食物,咨询食疗
或者打电话，感觉这个平台不安全,咨询电话
霍营地铁站,无
肌肉拉伤不用药??不养着就不会容易好吗,咨询治疗方式
基本隔天就有,无
基本每一天都在11点以后12点吧,无
几分钟吧,描述症状
几天就正常了,咨询治愈时长
几天可以恢复,咨询治愈时长
几天能恢复?我得跟我爸说下?然后学习方面更要调整下,咨询治愈时长
几天有发现,描述症状
济南九龙泌尿医院！河北保定曲阳县协和医院,无
济南万厚中医医院好吗,无
加Q,咨询QQ
加吧,咨询微信
加了吗！怎么没有,咨询微信
加了吗？,确定联系意愿
加你,咨询微信
加你了???同意一下,无
加你亲亲吧,咨询微信
加你微信干啥，拉我去你医院看病啊,确定联系意愿
加上检查费,咨询检查
加我qq吧,咨询QQ
加我QQ吧,确定联系意愿
加我QQ吧951547942,咨询QQ
加我扣扣吧,咨询QQ
加我扣扣吧,咨询QQ
加我微信吧,确定联系意愿
加下QQ咨询下，我还有些其他症状,咨询QQ
加一下,咨询微信
加载太慢，微信发不出去。,确定联系意愿
家里除了罗红霉素?没有别的药物。,咨询药物
假体植入不是按按钮就可以勃起么？,咨询项目介绍
价格和疗程,咨询价格
