,uuid,sentence,intention
5446,E2569490004812015,我给你kan?xia,无
5447,E3830330001990016,我在横岗哦，那太远了,无
5448,E3830330003579016,谢谢，他们没时间,无
5449,E3830330001270006,没有！,无
5450,E3830330010802007,雷州市,无
5451,E3830330002048007,11岁，2008年的,无
5452,E3830330004560015,我在龙岗这边去哪里好远，我在这边看一下,无
5453,E3830330000013016,不要让他看电视或者手机之类的吗,无
5454,E9000200015042002,江津区眼睛专科,无
5455,E3830330004402004,就是今天急用 能否赶制,无
5456,E2871200047212017,做手术前要停戴多久呢,无
5457,E3830330016570019,可以怎么放松一下吗？,无
5458,E9000200005310021,在万州那个医院,无
5459,E3830330007900004,开导开导科学技术呢,无
5460,E3830330001387061,怎样去你们的官网,无
5461,E3830330003944006,:.没有,无
5462,E9000200009745015,先大概介绍哈,无
5463,E2569490005122024,那靠近普陀区的这个门诊有没有。,无
5464,E3830330004718023,宝安那里,无
5465,E3830330017499014,在福田区竹园小区这边，其实离眼科医院很近的,无
5466,E3830330003460013,舒敏？,无
5467,E3830330006907022,只是今天，你说的概念是什么意思？,无
5468,E3830330015698023,那就是点眼药水了,无
5469,E2569490000867012,先天性的斜视能治好，,无
5470,E3830330002658029,我住在宝安沙井,无
5471,E3830330001413013,云南的,无
5472,E3830330000215011,嗯嗯，现在没时间呢，谢谢医生了,无
5473,E3830330003578011,我一天睡10个小时应该足够的,无
5474,E2871200000542003,9月份满17岁,无
5475,E3830330001333017,哦，好的，谢谢,无
5476,E3830330002262005,深大总医院,无
5477,E3830330001836007,东莞寮步这里,无
5478,E3830330007567009,第1次看诊,无
5479,E3830330001227018,首先医生要有道德,无
5480,E9000200013805011,最近白医生的号挂完了吗,无
5481,E3830330003076001,您好，在吗,无
5482,E3830330016015033,使用过,无
5483,E3830330000378006,55岁左右。,无
5484,E5953630001940009,一般需要多长时间,无
5485,E3830330003728007,算了，在福田，太远啦,无
5486,E3830330002471005,深圳福田华夏眼科医院，还有辽宁沈阳爱尔眼科医院,无
5487,E3830330004338010,民治地铁站,无
5488,E3830330001565014,我就想用下滴眼液,无
5489,E3830330000022006,今年50岁,无
5490,E3830330003759030,13岁什么科？,无
5491,E3830330000429018,明天就好了,无
5492,E3830330004077032,现在不需要呢谢谢您啦,无
5493,E3830330010652013,我百度地图导航一下就知道，,无
5494,E9000200008851006,我看短信也没写多少号那个医生什么的，好的吧谢谢,无
5495,E2569490001326002,一会会就好了,无
5496,E9000200005093046,地下车库在那儿,无
5497,E3830330003508001,怎么提现呢,无
5498,E9000200004808019,爱儿眼科医院,无
5499,E3830330003235003,这样呀,无
5500,E3830330000296006,60多岁,无
5501,E3830330001477009,到了美国以后，两天吧,无
5502,E3830330000253011,没有时间去医院,无
5503,E3830330006882048,我就想问下,无
5504,E3830330000393021,确定跟你说,无
5505,E3830330004561011,深圳福田的比较近,无
5506,E3830330007453015,我在石岩去哪家近,无
5507,E3830330001188010,眼睛不疼,无
5508,E3830330004643019,在荷坳的,无
5509,E3830330017641012,可以自行恢复正常吗,无
5510,E5953630000325026,过年吧,无
5511,E2871200022555018,哦，那不全款的呢,无
5512,E3830330015326010,现在不敢去医院啊，疫情太可怕了，怕去医院被感染了,无
5513,E3830330003125004,如果不合适的话，我就不来检查了。,无
5514,E3830330003009026,我不太了解,无
5515,E3830330001194052,大学生是学校交的,无
5516,E3830330000403026,和次数,无
5517,E3830330000144003,经常性的,无
5518,E3830330001812005,不是，是家中老父亲,无
5519,E3830330004115017,我爸妈去上班了,无
5520,E9000200010068003,周雪强,无
5521,E3830330004308060,林静童：9林子杰:13,无
5522,E3830330002841004,3岁.小孩子,无
5523,E9000200005023051,多少天可以出院哦,无
5524,E3830330004716011,说也是美国的,无
5525,E3830330017637070,不想有什么问题,无
5526,E3830330016525001,单眼最高多少度,无
5527,E3830330002409026,我知道你们在那里,无
5528,E5953630001723031,1-2次而已,无
5529,E3830330004754004,12差不多13,无
5530,E9000200014189014,跟公立医院结果差不多啊,无
5531,E3830330004207004,谢谢9999999999699??,无
5532,E3830330004174013,小孩的名字是林子齐,无
5533,E5953630001475002,为什么专家没有把自己的近视镜治疗摘掉？,无
5534,E9000200004320012,长寿医院,无
5535,E2569490000941037,是朋友介绍的，说你们地方做的不错,无
5536,E3830330000151052,在深圳龙华,无
5537,E3830330001899004,9.5,无
5538,E3830330003333001,睫毛掉了有长吗,无
5539,E3830330005342047,一个恢复期都要在医院待着么,无
5540,E3830330003015028,我无接电话,无
5541,E3830330009936011,龙华医院,无
5542,E3830330001363036,福田就算了,无
5543,E3830330001737010,现在不方便过去,无
5544,E9000200004052004,市中心医院,无
5545,E3830330004957011,问一下有什么忌口吗？,无
5546,E3830330003389010,对，但是她不愿意来,无
5547,E2569490005204021,比较担心这个,无
5548,E3830330003161016,这么远,无
5549,E3830330003156012,我出差在福田,无
5550,E3830330004077015,以后可能会去手术,无
5551,E3830330003074005,有些人双目失明,无
5552,E3830330002719022,下午四点的火车,无
5553,E2871200001616001,可不可以，不要弹出来？,无
5554,E9000200005057019,那我家住在那,无
5555,E3830330002519032,好一点的,无
5556,E3830330001394025,公司在东莞,无
5557,E9000200004467009,五桥那儿,无
5558,E2569490001932051,15000左右吧,无
5559,E3830330001907022,哦！那算了吧！,无
5560,E3830330001983025,我住竹园小学,无
5561,E3830330012797006,现在去医生检查,无
5562,E3830330007723004,我先咨询下可以吗,无
5563,E3830330001634010,那只能上医院检查了,无
5564,E5953630000611003,加了V 通过一下,无
5565,E2569490004526016,上海市第一人民医院。,无
5566,E3830330000201014,未曾听说过,无
5567,E9000200016214069,我是一定要求白继医生做手术的,无
5568,E3830330002392003,0.06比0.01好是吗？,无
5569,E3830330005636005,我一天最少10支,无
5570,E9000200014846002,杨医生在不,无
5571,E3830330001702008,在深圳这边。,无
5572,E3830330002943018,我考驾照，5米外单眼视力心须达到5.0,无
5573,E3830330005470014,你们医院带有神经科没有？,无
5574,E3830330004388028,百分之一,无
5575,E9000200010166014,县人民医院眼科,无
5576,E3830330002000016,网上不是说，一个星期多左右就好了吗？,无
5577,E3830330001972016,我喝多一点凉茶就可以了。,无
5578,E3830330003925009,我们下午从广州来的深圳,无
5579,E3830330002002006,我想先问问,无
5580,E3830330004553022,或者停止上升,无
5581,E3830330004249008,怎么算符合,无
5582,E9000200014737035,一班是几点到几点,无
5583,E9000200010299002,激光剑,无
5584,E9000200015279006,陆军军医大学？,无
5585,E3830330003361047,那能先和我讲下不,无
5586,E9000200004701019,没人接电话08255181143,无
5587,E3830330002459027,感谢您,无
5588,E3830330012731021,分很多医院，分很多手术方法,无
5589,E9000200009704021,重庆市第三人民医院,无
5590,E3830330003124007,没，他她们都很忙的,无
5591,E3830330002711011,我也不记得了,无
5592,E2871200056230022,是不用谢，还是不用联系你啊？,无
5593,E3830330001863021,能过去,无
5594,E3830330002455029,不能用吧,无
5595,E3830330003121024,今天没有时间,无
5596,E3830330002610014,日本的质量是最好的吗？,无
5597,E5953630000019009,首都机场附近,无
5598,E3830330004132017,何小姐,无
5599,E2871200004385017,那我不知道怎么去选择,无
5600,E5953630001438021,优惠之后就是七八千到一两万,无
5601,E3830330003666005,二十几岁,无
5602,E3830330003717008,西乡医院,无
5603,E3830330017613008,上班有用电脑怎么办,无
5604,E3830330016331037,那我找香港沙田这家看看,无
5605,E3830330000394019,谢谢你的建议,无
5606,E3830330001325001,就医挂什么科,无
5607,E9000200008306014,华西医院,无
5608,E3830330001339008,可是她现在不在深圳,无
5609,E3830330014786004,新安店,无
5610,E2569490004189021,好的，那就麻烦你了，我就在近的医院看门诊吧！谢谢,无
5611,E3830330002725008,我在老家,无
5612,E3830330000365026,他害羞不敢问,无
5613,E3830330001348024,今天没空,无
5614,E3830330002658065,那就这个14.15分,无
5615,E3830330005133017,好远啊 我在西乡这里呢,无
5616,E3830330002621012,一般要多大呢,无
5617,E3830330001539005,没有散光没有近视,无
5618,E3830330001342005,会感觉跟看天上的火星,无
5619,E3830330002844023,宝安区也可以,无
5620,E3830330004388029,还是百分之零点一,无
5621,E3830330002747023,邓振兵,无
5622,E9000200004994006,重庆江津区。,无
5623,E3830330016798027,您那边太远了,无
5624,E2569490000730001,否词，麻烦转达，加QQ2649896979谢谢,无
5625,E3830330004010012,今天厂不放假……请不到假…,无
5626,E9000200010548007,不是全省联网了吗,无
5627,E9000200014467033,一楼4号房医生,无
5628,E3830330002906032,好的。麻烦le,无
5629,E3830330004103009,我发了图片，麻烦你帮我看看,无
5630,E3830330000492007,1.5,无
5631,E3830330007837025,香港吗,无
5632,E3830330004308043,大概要等多久,无
5633,E3830330000433033,多谢您，打扰你了,无
5634,E9000200014268015,万州千禧酒店那一家,无
5635,E3830330003447013,离我近的，设备全面的,无
5636,E3830330002515013,就实际情况说一下,无
5637,E3830330000399017,对啊，我们在深圳这边福田,无
5638,E3830330004036009,0.4,无
5639,E3830330003422009,算了 谢谢,无
5640,E3830330001780001,你好医生，在吗？,无
5641,E9000200014625037,没定，所以咨询你院,无
5642,E3830330002174005,我是作做磨具的上班的时候有铁渣飞进去了，照镜子又看不到,无
5643,E3830330003434006,还没有三周岁,无
5644,E3830330002585011,我就是来简单的咨询一下,无
5645,E3830330007369014,暂时没法安排时间出来,无
5646,E3830330003991034,好的，考虑一下先,无
5647,E9000200012993007,巫艾莉,无
5648,E9000200004207005,杨家坪的,无
5649,E3830330001189015,很近，灵芝地铁,无
5650,E3830330004193006,在四川,无
5651,E3830330001204003,不忍心,无
5652,E5953630003131020,会死嘛,无
5653,E3830330002449024,我想问下,无
5654,E3830330000519003,你好，,无
5655,E5953630000004064,交3000 定金,无
5656,E3830330002571002,为什么啊,无
5657,E3830330003608003,他很少去医院看，他在香港是穴位神医,无
5658,E3830330001769012,小小。,无
5659,E9000200004418027,泸州也有,无
5660,E3830330006860014,武汉同济,无
5661,E9000200009846007,除了在你们医院 还会去其他医院吗,无
5662,E3830330003104002,看来都下班了,无
5663,E3830330003389017,我不是很清楚,无
5664,E3830330001834015,暂时不用，谢谢！,无
5665,E5953630001186021,想去北京做呢,无
5666,E3830330004499014,那个不好意思，打扰了你,无
5667,E3830330002502008,医生也就说控制不看手机 电视 户外活动 但是她也没看电视手机呀,无
5668,E3830330012338012,过年前应该没时间,无
5669,E3830330003720002,圆球边上有血丝几根？,无
5670,E2871200051253022,我们到医院后找谁？地址清楚,无
5671,E9000200004353023,在永川大安,无
5672,E3830330011734008,北京同仁医院,无
5673,E3830330004725006,江西信丰,无
5674,E2569490004736010,是多少目前不是很清楚,无
5675,E3830330004273019,所以有没有关系,无
5676,E5953630002705011,对面的车在同一方向,无
5677,E5953630003461009,我加过呀！,无
5678,E3830330001376008,差不多4岁了,无
5679,E3830330002062019,父母好像没有关联,无
5680,E2569490004445001,你好请问一下现在去嘉定中心医院看眼科可以挂到号吗,无
5681,E3830330001777015,不方便啊，太远了,无
5682,E3830330001173004,深圳眼科医院,无
5683,E3830330001399006,可以问个问题吗,无
5684,E3830330001565005,20 是本人,无
5685,E3830330001578007,有没有这种说法？,无
5686,E3830330002853007,4岁多,无
5687,E5953630001215043,哦 晶体是分进口的 和国产的,无
5688,E3830330015895111,还有医生解释,无
5689,E3830330015888007,刚刚用清水洗了,无
5690,E9000200004145013,罗玉芳,无
5691,E3830330004346012,那离我这里好远,无
5692,E2569490002008036,在6号线张杨路这边,无
5693,E3830330001684001,我的眼睛是外物伤害,无
5694,E3830330002739024,嗯可以  谢谢,无
5695,E3830330002623024,我觉得是骗人的,无
5696,E9000200005093021,张聪是那个医院医生,无
5697,E3830330004338022,谢谢！晚安,无
5698,E3830330007701007,眼科医院，市二医院眼科，有社保,无
5699,E3830330002758033,请问医生贵姓？,无
5700,E3830330002906028,这样呗,无
5701,E2871200054097001,现在有急诊吗？,无
5702,E3830330001768002,学习电脑验光,无
5703,E3830330001133027,不记得了，只记得当时留了电话说帮留意，一有解决办法就会联系，只是一直没音信，慢慢的也就失去信心了,无
5704,E2569490001335063,坐地铁吧,无
5705,E9000200004427002,仁寿县的吗,无
5706,E3830330001212011,了解一下,无
5707,E3830330009571032,还是挺远的,无
5708,E3830330004257007,没有，我样问一下,无
5709,E3830330001479010,不是，左边,无
5710,E3830330000362018,妈的你一家人去看.干嘛这样说话,无
5711,E3830330004379012,龙岗这边,无
5712,E3830330001463005,现在问问看,无
5713,E3830330001496005,1岁2个月,无
5714,E3830330002036006,我想考驾照,无
5715,E2871200054431010,你那边有事大概需要多久忙完,无
5716,E3830330010631010,哦，我想近点的,无
5717,E3830330003299009,嗯！谢谢,无
5718,E3830330001312012,不用了，谢谢！,无
5719,E3830330001349010,我去医院看看,无
5720,E2871200042300001,你好，我想问一下，如果做激光手术要取戴RGP多久,无
5721,E3830330003737010,也玩手机,无
5722,E3830330003136011,没有，我想咨询一下,无
5723,E9000200010976008,重庆医科大学,无
5724,E9000200011853009,罗英杰,无
5725,E2569490001901001,眼睛充血挂什么科,无
5726,E9000200012867020,专家号,无
5727,E3830330000012023,可以的,无
5728,E3830330004149013,我社保绑在龙岗医院的,无
5729,E3830330003723020,嗯，也行。,无
5730,E3830330003996008,忘了，五百以上吧,无
5731,E3830330002047004,已经预约了?? 宝安区,无
5732,E3830330006949022,不会红吗,无
5733,E3830330001427060,你能简单跟我讲一下吗,无
5734,E5953630002606016,朱鑫杰,无
5735,E3830330014764017,我先让家里人带去看看当地医院，谢谢您,无
5736,E3830330016536009,三天一次,无
5737,E3830330010951064,我很担心,无
5738,E3830330005563013,去医院检查,无
5739,E9000200015241039,王益珍,无
5740,E3830330001496019,我知道,无
5741,E3830330011194005,在新安,无
5742,E3830330002484001,好的 我考虑一下 谢谢,无
5743,E3830330000522013,我们在南山。,无
5744,E3830330004673035,我先和家人商量一下，暂不申请。谢谢您！,无
5745,E3830330001446026,好的吧,无
5746,E9000200009054017,试戴多长时间,无
5747,E3830330015771023,有点远、你那好像比较远吧,无
5748,E3830330004669021,因为我不是深圳本地人，来你们这里有点困难，如果你们帮我开药就更好,无
5749,E3830330004195014,知道。,无
5750,E3830330015201008,尽快安排,无
5751,E3830330002286019,要是吃了不管在去吧！,无
5752,E3830330002362038,大概什么时候,无
5753,E9000200004099004,可以把我的联系QQ：645671387? 微信：18326971681??发给你们网络推广负责人。,无
5754,E3830330002651010,我光明新区,无
5755,E5953630002199001,口腔科,无
5756,E3830330003149006,我也不了解，是我家公。,无
5757,E3830330015335013,但现在不可能做病毒那么厉害,无
5758,E3830330001837012,要去找合适的捐献者吗,无
5759,E3830330005083002,你好！请问一下要是没有近视带两百度的眼镜对眼睛有伤害吗,无
5760,E9000200015731011,是他亲自做吗,无
5761,E3830330002466025,好的人谢谢,无
5762,E9000200005014009,重庆博士眼科,无
5763,E3830330001133031,好像还说，可能现在医学还没那么发达，说会帮留意有什么解决方法就会打电话,无
5764,E3830330003381030,我是想先了解一下,无
5765,E3830330001529008,我没说过来呀,无
5766,E2871200029074036,不知道有两家,无
5767,E3830330009706013,请问要注意些什么会好的快一点,无
5768,E3830330001815006,但是忌口不是一件容易的事啊,无
5769,E3830330001837031,那我需要怎么挂号,无
5770,E3830330000002019,我跟孩子说说吧,无
5771,E3830330000499007,七十六歲,无
5772,E3830330001908003,七十岁了呀,无
5773,E5953630001943015,我想先了解，在考虑要不要手术,无
5774,E2569490000139008,没有影响。,无
5775,E2569490001382011,如果不做手术可以自己好吗,无
5776,E3830330003956009,我们现在在惠州,无
5777,E3830330002610030,麻烦你了,无
5778,E3830330007435015,是因为我想要他给流眼泪，然后可以把脏东西给弄出来,无
5779,E3830330002186004,上夜班最近,无
5780,E3830330003388003,，+@gmail.com,无
5781,E9000200009174005,散瞳后的结果,无
5782,E3830330001410021,哦 对 打错了,无
5783,E3830330001806005,97年,无
5784,E3830330004645012,好的谢谢我？现在在湖北,无
5785,E3830330000124009,今天不行，要上班,无
5786,E3830330007373012,我只寻找染色的医院,无
5787,E3830330007145010,做之前没戴过隐形，之后戴了,无
5788,E3830330001956002,[大哭],无
5789,E3830330003708016,李文回,无
5790,E3830330001789017,我在龙岗,无
5791,E3830330001757004,小孩子的,无
5792,E3830330002781006,我。没有啊。,无
5793,E3830330002009030,没有，我一个人,无
5794,E3830330004668013,在河南,无
5795,E9000200015822043,挂号排队吗,无
5796,E3830330007210012,大概，10左右吧！,无
5797,E3830330003617011,您还在吗,无
5798,E3830330009682018,坂田医院,无
5799,E3830330003600027,就不是新安那家店,无
5800,E3830330004043012,以前在老家,无
5801,E3830330016509015,当然哪个近就去哪儿啊,无
5802,E3830330004081010,看到了吗？,无
5803,E3830330017338011,疫情过后吧,无
5804,E3830330004107005,13，没有,无
5805,E3830330002016017,对 就差交钱了,无
5806,E3830330003460016,每周几天在呢,无
5807,E3830330003110003,快5岁,无
5808,E3830330004499007,嗯，七十多吧,无
5809,E3830330001128004,进口的也可以,无
5810,E2871200009734021,多久可以做？,无
5811,E9000200008241008,是这样  孩子想当兵  8月份报名截止  不知道来得及不,无
5812,E3830330009444013,主要注意那些,无
5813,E3830330005133021,嗯 我记下地址 等等查下 谢谢了,无
5814,E2569490001599011,我很担心的,无
5815,E5953630003073013,平谷区,无
5816,E3830330005720008,我要皮肤科。,无
5817,E3830330003175019,我给我女儿做,无
5818,E3830330015592003,嗯，想看下医生,无
5819,E9000200015302011,杨柱英,无
5820,E9000200011614010,陈自芳,无
5821,E3830330012248027,现在三点钟,无
5822,E5953630001197032,到时要去我直接去那儿约吧！,无
5823,E3830330004381021,父母是二档的,无
5824,E3830330006835016,我明天到附近看一下,无
5825,E3830330012819021,深圳一档医疗,无
5826,E3830330003680011,不在，在老家,无
5827,E3830330001615032,我考虑一下吧,无
5828,E5953630003140004,想复印病历，找谁联系,无
5829,E3830330001459023,有地铁,无
5830,E3830330002643007,宝安第二人民医院,无
5831,E3830330003686003,五十二岁了。,无
5832,E3830330000506002,宝宝只有2周岁半,无
5833,E3830330004409030,像一个相机一样照着她吗,无
5834,E3830330014927012,周期多长？,无
5835,E3830330007778002,是细菌性的还是病毒性的,无
5836,E3830330003269010,其他没有什么情况,无
5837,E3830330002527008,不是.我妈妈,无
5838,E3830330003465004,度数不知道,无
5839,E3830330002902019,先打扰下,无
5840,E3830330003079008,应该是吧,无
5841,E9000200005040041,优惠不优惠都无所谓 只要能做到最好,无
5842,E2569490004885019,不好意思我在上班今天没有时间过来谢谢,无
5843,E3830330002962028,还没来得及补呢,无
5844,E3830330016507019,三月中旬吧。,无
5845,E3830330003601030,呵呵，，，,无
5846,E3830330004352013,区别是哪里,无
5847,E3830330000257012,想问一下眼球是靠什么来控制它的转动,无
5848,E3830330004519034,有点麻烦吧,无
5849,E3830330001382030,有啊。,无
5850,E3830330002585019,哦哦 好的吧,无
5851,E3830330000514012,好的，我先就近看一下吧,无
5852,E3830330001479009,感觉是被蜂蜜扎的,无
5853,E3830330004846011,请问你一个问题？如果是健康年轻人死亡未超过7小时那眼角膜还能不能用？,无
5854,E9000200004019013,不是说每个月来一次吗？,无
5855,E3830330004977006,龙岗中心医院,无
5856,E5953630001757010,那就是朝阳医院,无
5857,E9000200005092016,南山寺中医院,无
5858,E3830330007007008,餐前6.5－8.4,无
5859,E3830330003663026,滕爱玲,无
5860,E5953630000883041,北京同仁医院，301,无
5861,E3830330002439004,七十多岁,无
5862,E9000200016102011,没有，那个专家嘛,无
5863,E2569490001406021,我地铁也方便的谢谢谢谢,无
5864,E9000200004440044,离冉家坝好远,无
5865,E3830330004205010,我家长还没回来，他们要加班，,无
5866,E9000200014426031,最怕的是实习的医生,无
5867,E5953630001495001,这教授居然带眼镜,无
5868,E3830330003073022,不好意思，打扰您了,无
5869,E3830330001541006,以前没有过,无
5870,E3830330000152003,63岁，家人,无
5871,E3830330001794026,有朋友介绍去武汉??科,无
5872,E2871200041894040,会增加,无
5873,E3830330012136008,具体叫什么名字,无
5874,E5953630000973037,我们以前周六日休息,无
5875,E3830330001788009,是w003757,无
5876,E2569490000102027,眼耳喉医院,无
5877,E3830330003827020,太远了，不方便,无
5878,E3830330016548027,现在不方便去，过了先吧,无
5879,E3830330003978008,是的，36岁,无
5880,E3830330002698006,就是想问一下,无
5881,E3830330010671005,宝安区沙井街道,无
5882,E3830330000324012,南联地铁站,无
5883,E3830330001476024,嗯嗯 也行,无
5884,E3830330002419019,要不要挂号呢,无
5885,E9000200009763024,别个私立医院服务态度不晓得有多好，而你们医院简直是……,无
5886,E3830330004588004,是我妈妈64岁,无
5887,E3830330002658052,有一个多钟的路程,无
5888,E3830330003361053,嗯，看看吧,无
5889,E5953630001581017,能变好,无
5890,E3830330007495014,欧几里得 什么英文,无
5891,E3830330002541002,收到，谢谢,无
5892,E2871200025171010,我平时佩戴隐形眼镜 需要提前多久停戴呢,无
5893,E3830330002032029,哦！好吧！谢谢,无
5894,E3830330001168021,我得去找一下卡,无
5895,E9000200005399004,重庆荣昌区,无
5896,E9000200013032025,戒奶之后半年吗,无
5897,E3830330003832010,不好意思没注意看，在外省,无
5898,E3830330007866022,家里芒种呢,无
5899,E3830330001955019,能不能教一下我,无
5900,E3830330003026000,月， ，山土女女卜。，,无
5901,E3830330009141014,大鹏新区,无
5902,E3830330014959013,手术听上去就怕,无
5903,E9000200014806061,你能给我介绍一下吗,无
5904,E3830330003431004,没带过，想咨询一下,无
5905,E3830330003383009,龙岗区平湖镇,无
5906,E3830330003001004,49岁，还在上班，没时间去检查,无
5907,E3830330000390013,饮食方面要注意什么类型的？,无
5908,E3830330012119013,不会红,无
5909,E3830330004308051,时间和林静敏一样,无
5910,E9000200014579034,晓不得啷个加？,无
5911,E3830330001640012,应该是进东西了导致的,无
5912,E3830330001781010,[再见][惊恐][再见][再见],无
5913,E2871200052130020,我还想问一下他这个麻醉过了之后会不会痛呢,无
5914,E3830330004297036,把那个去掉呢,无
5915,E3830330001602003,72年,无
5916,E3830330012118022,可以用针挤出来吗,无
5917,E3830330001753021,在试一试,无
5918,E9000200010617025,欧怡怡,无
5919,E3830330004317003,想问一下，因为他在阳江,无
5920,E3830330015856019,二维码可以吗？,无
5921,E3830330007639029,哪里加？,无
5922,E3830330002955006,还没有做,无
5923,E3830330003612005,请问医生,无
5924,E2569490005269029,这个可以自愈吗,无
5925,E3830330002308015,没有时间呢,无
5926,E5953630003037001,近视后可以不花钱慢慢恢复吗,无
5927,E3830330002048016,叫她注意坐姿，就是做不到,无
5928,E3830330007864005,能咨询一下吗,无
5929,E3830330002192013,福田的去过,无
5930,E3830330002865014,好的感谢了！,无
5931,E3830330002754009,不打算呢,无
5932,E3830330004731012,周佳锋和周泽锋,无
5933,E5953630003399005,我预约了下周二段安丽教授的号，微医通过了,无
5934,E3830330004762016,我准备下,无
5935,E3830330003689015,没有其他问题,无
5936,E3830330003680018,不是很方便过来那么远,无
5937,E3830330007614012,我想卖一只,无
5938,E2569490000075015,要挂什么科,无
5939,E3830330004054009,我在惠州的,无
5940,E3830330002196013,谢谢 知道咯,无
5941,E3830330002414009,我不太敢，我也不知道怎么说出口,无
5942,E9000200012619017,像那种医院下乡去接人回来住院，合法吗？,无
5943,E3830330001436020,太远了，我看下附近有没有，,无
5944,E3830330002891025,我这里没有地铁哦,无
5945,E3830330016043001,你好   在吗医生,无
5946,E3830330004224018,是在宝安区观澜这边。,无
5947,E3830330003015007,是了呢,无
5948,E9000200004338033,可以的 我这边不是很远,无
5949,E3830330004518004,我想把我眼角膜卖了,无
5950,E9000200003966050,硬型的比软型的伤害小好多呢。,无
5951,E3830330001340014,可以导航过去,无
5952,E3830330001473016,不方便，谢谢了,无
5953,E3830330002384007,有些疑问,无
5954,E3830330000151031,有哪些注意事项可以改变的吗,无
5955,E3830330002060019,才能好,无
5956,E3830330003785001,医生，你好,无
5957,E9000200009485031,这个应该挂哪个门诊呢,无
5958,E3830330000170013,少吃油腻，不要吃宵夜,无
5959,E3830330001875020,我在东莞，可能 不方便呢,无
5960,E3830330001226010,现在可以的,无
5961,E9000200013262002,请问一下  你们那最近有下乡的医生吗,无
5962,E3830330000033005,3岁半,无
5963,E3830330003671004,近五十,无
5964,E3830330001793021,没有数据了,无
5965,E3830330002353006,你能在说清楚点么,无
5966,E3830330001944009,好像以前打篮球被别人打过眼球,无
5967,E9000200008504030,有病吗你？,无
5968,E3830330002981006,不是什么大问题，可能就是天气原因喝多水,无
5969,E3830330002061012,深圳龙岗,无
5970,E3830330002958020,没有吧,无
5971,E3830330004225007,奔三了,无
5972,E3830330005169007,如果已经检查过了，就直接问医生了，还咨询什么？,无
2154,E3830330002395008,斜视那边弱视_175度,描述症状
2155,E3830330001640008,进东西之后一直都有点模糊,描述症状
