uuid,sentence,已完成,items1
A18503000055190,就是苹果肌那里会显得特别突出两边脸颊又特别凹陷,,
A5854910010037005,感觉不怎么大,,
A58602800023190,然后下巴打尖一点 应该用玻尿酸还是自体脂肪呢,,
A5860280002831011,之前在索兰国际脱毛。,脱毛,
A8881750000214003,是什么假体？,,
A5854910016202008,这个可以完全去掉？,,
A6577100004234005,唇炎能看吗,,
A8911670002462002,你好，请问一下润百颜玻尿酸功效是什么,,
A9170690002156008,就是摔的，大概10天,,
A58602800065020,苹果肌是颧骨的部位？,,
A5015660005420007,注射伊琬小分子多少钱一支,,
A4276530017391020,对啊，想把它弄好,,
A28607400067830,医生您可以加下我微信吗？这是我微信WLL528528520，丰胸这种私密话题我们还是微信聊比较方便吧！可以吗？,,
A5732510001082006,25岁，快一年了，我是男,,
A6068820012122008,你看我去了能不能做上,,
A58602800147450,你好，我原来在这儿做过去狐臭的手术，是一个有点白的男医生，好像是一个主任，然后现在我嘎吱窝那儿有很多鼓起来的地方，还可以挤出来好多黑色的脏东西，像黑头一样，是怎么回事呀,狐臭整形,
A6708030001048003,免费送进口膨体是什么,,
A6068820010571009,两个价格分别是多少,,
A5727500000569004,睑黄瘤,,
A5854910004445008,最早有3年了,,
A18177800077870,乳晕呢,,
A2860740005350009,眼皮底下比较小块，但比较深,,
A5861350003755004,然后上面有肉瘤瘤是啥,,
A7419650012938049,最近?了很多人，手机都被打爆了,,
A9170690003590018,我有四个坑,,
A1527530008757004,平的  怎么祛的,,
A88817500036670,私密超声刀和菲蜜莉有什么区别,,
A8412990001073020,我一个朋友20号过来鼻子拆线。我到时候一起来面诊可以吗,,
A5860280007951042,19800元的是PRP，29800的是：RGF吗？,,
A28607400076310,填充额头和苹果肌,,
A42765300173270,私密部位的全脱,,
A85300000002070,私密紧致一般需要多少钱,,
A1817780011324028,片状也有一些点状,,
A59795000050670,请问你们院有私密整形吗？,,
A8839580005160006,你哪里有哪些开展项目啊？,,
A8412990002966006,没有呀以前不会近一两年一才会就是睡眼不怎么好,,
A88395800058640,你们医院可以做私密紧缩术巴,,
A5854910016427013,全肋骨好一点，还是半肋骨鼻好一点，效果,,
A5860280000280022,是全脸做三次吗,,
A5283910002980001,我想问下我是属于疤痕体质能做吗,,
A1159720002364012,能不能治？,,
A28755800028490,这里有私密处整形项目么？,,
An,首推真效果不好,打瘦腿针,
A6708030001877007,里面是用什么材料填充,,
A5015660000302012,五六个月前吧,,
A7830660006652005,我想了解一下是不是永久的,,
A1817780011848034,假如做肋骨和假体价格差异有多少,,
A2875580003939006,十一二岁就有了,,
A9002450003217009,我是2017年1月第一次做膨体？耳软骨，没什么问题但是形状比价塌，我就在今年9月29做了置换膨体？鼻中隔延长鼻小柱？耳软骨，然后形状特别的丑，是断节的，医生就说20天之内可以修复，我就让他给我重新雕刻膨体，那么就等于三次了，现在我还是不满意，假体一边高一边低，远看就像歪了一样，鼻头也变大了,,
A85300000011350,想问一下下巴做假体一年多感觉变短了,,
A1527530002156070,做完了，多久拆线,,
A5015660005805020,眼睛还做过眼线，但是很粗,纹眼线,
A5731100001430009,我想对比价格！,,
A5854910017386025,3月份一号做的线雕带衡力现在打没影响吧,线雕,
A1527530005385035,我是在网上看私密做了好不好,,
A5015660011384004,嘴唇上方，不到1平方厘米,,
A2860740007807012,我的是茶色,,
A59795000089880,私密部，整形可以做吗,,
A83301000025730,请问你们有这方面的私密整形吗,,
A39914200058950,有，现在主要是下巴和和颈部长痘,,
A2259130019025012,是不是阿杜开的那个,,
A9963270025982008,肩膀和手臂,,
A5854910002690009,你给我费用多少,,
A2773850017868007,不清楚，十多年前在女儿红纹的,纹纹绣,
A8363010000444030,如果没有做活动室多少钱,,
A6068820005023004,我做隆鼻之前有填充物取了,鼻部修复#隆鼻,
A6068820012720014,我是在小腿上，挺多,,
A2367960000249024,3.4万的能持续多久,,
A1600310005339016,难道自己减不下来吗,,
A8881750002462007,能改善黑吗,,
A2860740000510008,最近被太阳晒了几天比较明显。,,
A8592480005015003,国产的可以吗,,
A4276530010098007,将近10来颗，脸上,,
A5732510000626017,永久性的不会脱落？,,
A6577100007128010,做手术费用多少钱,,
A2875580008459018,单次能弄掉吗？,,
A89979800033560,私密那个大概多少钱,,
A6068820015371015,价位方面？,,
A5854910004714006,今天18天了,,
A8911670000409009,1.5米高，86斤,,
A2773850002274008,伊蒂美是什么,,
A8412990000764022,嗯呀 价格到时候是会发到我手机上吗,,
A8881750000085007,把下巴整成尖的多少钱？,,
A5015660010125029,就是轻微肿？,,
A5854910009377007,因为人中离鼻子也挺近的,,
A4276530015578013,那你做没做一次就出血,,
A2875580015726007,还有白色的好多小颗粒,,
A2875580013366014,是埋线好还是微创,,
A1527530010197005,还有肚子，可以打针么,,
A6068820007916014,是永久性的么,,
A5860280005732003,多少钱喃?,,
A3226050001233020,这两种方式的区别是什么呢,,
A8388040000896026,每次的价格 大概是多少,,
A3996870002471020,激光会不会破坏角质层，就是怕反弹,,
A7419650002488009,范围在多少到多少,,
A5854910009019011,但是父母不在怎么办,,
A2773850018552023,仪器是按次收费还是按疗程,,
A57275000007040,脂肪丰太阳穴苹果肌怎么收费的,,
A5854910004152005,是不是只能淡 不能完全消除,,
A52839100081260,咨询一下私密部位脱毛价格,,
A2875580003733022,你方便告诉我你们这点的价格吗,,
A85924800044380,咱们这边能不能做私密漂白,,
A59795000010910,可以私密整形吗,,
A59795000269640,做私密多少钱,,
A57325100064700,面部，颈部，下巴，耳后长很多类型的痘痘是怎么回事,,
A3991420000128052,应该三点吧,,
A58602800130180,她的下巴有点短看适合这个活动不,,
A6708030000396015,特价是哪种 多少钱,,
A9170690005297024,是八个月开始吸收还是一直在慢慢吸收，然后八个月就没了呀,,
A1817780006203001,小孩十二岁可以治吗,,
A6577100004330020,一般补的话，需要多少钱,,
A8997980000584017,是苹果肌吧,,
A5854910008589005,这么个打法,,
A8592480002666012,是一支的费用吧,,
A28755800077460,请问一下，私密线雕是？,,
A74196500055840,请问一下有私密整形手术吗？,,
A15275300008270,我觉得这样私密一些,,
A1817780015888040,我怕角质层变薄。然后不能晒太阳。,,
A5861350005447008,红光治疗,,
A91706900068140,是用的什么仪器呢？我在你们家做了前臂和小腿，应该是激光脱毛，挺疼的。私密部位应该是不同仪器吧？,,
A23679600036340,双下巴大腿粗肚子有肉,,
A8412990004524036,还有别的方案？,,
A42765300175810,我下巴和额头都长痘。,,
A2875580008725016,那价格我可以了解一下吗？,,
A5860280006014016,单词8800，意思是一支就是8800，还是做一次是8800,,
A5854910004163023,嗯嗯。全面部多少钱,,
A9001440003816011,之前做过三点一线矣乎,多点双眼皮,
A16003100192880,而且腋下，私密部分皮肤更黑,,
A5283910013690007,但这个药水进入了胃里会致癌的，吐唑液啖里有红色，不安全,,
A8592480009833007,是永久的么？脱了还会不会再长出来？,,
A6903320000838003,我想问价格？得长期用？吗,,
A7261990000529020,对了，我脸上还有那个一颗一颗白色的东西，像一个泡,,
A9170690012822020,好像三点更好,,
A8881750004202003,我想做皮淼 你这边能做吗？,,
A9170690002343036,这个价格是一次的价格吗,,
A2259130001856011,现在苹果肌有点下垂了 想打起来,,
A5854910015767031,激光一般一次。多少费用？多少个疗程？,,
A1817780009252010,你们医院的收费怎么样,,
A1600310001413049,过年开不开,,
A9002350002018029,你那有沒有治过合情版的人,,
A6068820013137005,什么方法去除多少钱,,
A8412990000824007,30岁，十几岁就有了,,
A72619900016600,请问你们医院可以做私密方面的整形吗,,
A2875580011624005,腋下切口做的,,
A1527530007399001,444如何变白,,
A18503000331770,有整私密的吗？,,
A5854910014556007,21岁，有四年了,,
A6068820008790005,就问问你多少钱,,
A8412990007584031,能有个大概价位吗，我想先看看能不能接受,,
A5860280014648004,新人卷怎么领？,,
A58549100144750,主要下巴淋巴这里会长痘痘,,
A5283910000488017,你不能直接告诉我价格吗，,,
A8363010003282025,快四个月了，但是感觉还很多,,
A4276530000894034,它會容易包膜攣縮嗎,,
A8911670000457009,不算太肥,,
A7261990004750013,是用药水还是激光,,
A6577100004965031,最后就取出来了，取了之后鼻子没有之前那么好了,鼻部修复,
A4276530006981022,你们那费用大概多少,,
A83301000000260,请问你院有私密精致吗,,
A2875580011682011,是面膜还是注射,,
A5854910015145010,当时真缝了，不够平有点凸,,
A2860740000532002,黑色眼珠越来越小怎么办,,
A7830660000235018,这个大概什么价位呀,,
A7261990004108047,做这个一般多少钱呢,,
A1817780013388012,大概要12多少钱,,
A8412990001451027,你那个相关费用资料发给我一下，谢谢,,
A6577100004759007,那你们这个美白是什么样的,,
A8363010006805014,私密美容多久一次？,,
A85300000218430,你好，近期要回南宁，所以想咨询一下私密整形,,
A1817780015639008,可以切了再美容针缝吗？,,
A8839580004500025,会不会反弹 要不要复诊 会不会很麻烦之类的,,
A5015660003594004,不对称小腿可以拯救吗？,,
A1817780014729008,注射的见效快吗,,
A91706900071930,我想了解一下，私密整形,,
A6068820007116021,您告诉我你们韩版的机器做我这大约多少费用,,
A6068820012243012,手术有风险吗？因为是在人中,,
A3991420004543018,那钱花不完的怎么办啊,,
A6577100011387010,我听说会伤害角质层,,
A4276530013913005,总反反复复,,
A18503000015810,咨询私密整形的,,
A3991420000781047,想先了解下，分别什么价位的,,
A28755800125960,我想脱私密部位,,
A65771000114140,我下巴较短,,
A3996870000154008,是双11是这个价还是其它也是？,,
A8412990003425016,满胳膊都是,,
A8388040001512012,嗯，价位在多少之间呢,,
A8412990005734051,预约是在哪里预约，预约需要费用？,,
A5854910006775039,全部下来费用大概在多少？,,
A58549100039150,腋臭手术留下的,祛腋臭,
A99632700017410,你好，你院有私密整形吗？想做小阴唇美容术,,
A7419650002589002,opt什么价位啊,,
A6658970001632003,咱们医院能治o型腿吗？,,
A58602800165210,有些打了下巴过长有些,,
A2875580004051011,如果半年后修复可以让他看不到眼皮皱起来吗,,
A28607400005430,额头上跟下巴老是爱长痘痘,,
A6068820015172005,我六年前做的三点埋线,多点双眼皮#埋线双眼皮,
A2860740006237018,请直接说你们的治疗方案跟价格,,
A67080300193350,打扰你了，问一下可以做男性私密项目吗？,,
A5860280002739009,这个是大分子吧,,
A2875580006270006,不是说一千五百多吗？,,
A23679600043770,私密紧致和粉嫩可以做不,,
A5860280010000019,除了这个费用还有其他的费用不,,
A9963270000618008,也是要抽出来是吗,,
A1527530004273008,五公分吧,,
A2875580010130007,价位多少到多少？,,
A91706900013630,想下巴变尖怎么办,,
A8412990012172007,我朋友做完自体填充泪沟和苹果肌，眼袋那里很肿 原来没眼袋的 半个月了,,
A18177800042930,想做个苹果肌,,
A2860740008426008,我想要知道价格,,
A7419650011237033,一次的价格吗。还是说这个是做一次就可以了呢,,
A8881750000349034,还是会员就是这个价格,,
A58613500007950,私密又吗,,
A2367960005489002,"我想咨询""双下巴是怎么形成的""",,
A65771000018720,额头 苹果肌 太阳穴啥的 不是有套餐价吗,,
A1817780007724006,还挺厚,,
A9170690006307044,五六百的是什么方式,,
A9963270004740034,血管不是都进去膨体里面了吗,,
A5854910004196001,脸上以前有伤没长平能做吗,,
A5283910001522003,怎样可以改善,,
A2860740001076012,我先问一下你能容吗,,
A6577100011058009,有干细胞吗,,
A5015660007188013,就是私密紧缩呢,,
A5015660012494005,一个的价格是多少呢,,
A1817780000915010,哪种方式做的人多？,,
A2367960001787064,就是打针一样是吗,,
A6903320000200009,我是15年得的甲亢，后来变甲减了,,
A2860740009459014,生完孩子就开始了,,
A58613500096340,打苹果肌之后眼袋严重，溶三次了，打了二十多天了，怎么办,,
A5854910015660016,我是眼睑薄的，不臃肿,,
A8412990010800046,十分钟就到了,,
A5861350007645003,请问下有什么项目可以祛斑,,祛斑
A5860280016522002,请问超皮秒可以祛除眼角的斑不？,,祛斑
A4276530014954022,什么方式祛斑比较好,,祛斑
A5860280010383028,我是斑点,,祛斑
A6068820010149002,脸上长一一块斑能去掉吗,,祛斑
A5854910005640001,脸上有斑怎么办,,祛斑
A5860280012492003,我先咨询一下面部祛斑,,祛斑
A1527530009575001,祛斑会反弹吗？,,祛斑
A9170690014859008,斑点行成有一年了,,祛斑
A7419650011947035,哪种祛斑好,,祛斑
A9170690007640004,我想知道真的可以去斑么,,祛斑
A5860280014410012,最后一个问题：请问光电是超皮秒还是调Q激光治疗，谢谢,,祛斑
A8839580001052004,激光祛斑20天后有点反黑怎么办,,祛斑
A4276530001261004,请问一下，去斑的话是永久的吗,,祛斑
A4276530006153009,你是想看看我属于什么斑吗？,,祛斑
A2875580005930001,请问遗传性斑点可以去除吗,,祛斑
A2875580015016001,脸上很多斑，有没有什么方法去斑,,祛斑
A3996870000205002,我想咨询一下关于祛斑的,,祛斑
A8881750000618001,脸上长有暗斑能消除吗,,祛斑
A4276530015741001,肝斑怎么处理掉,,祛斑
A7830660000536005,我脸上有斑 想咨询下,,祛斑
A2367960001578024,激光是脉冲还是皮秒呢,,祛斑
A5854910006021001,怎么祛斑效果好,,祛斑
A1527530006000003,我想问一下咱们那边可以祛斑吗,,祛斑
A4276530001295017,现在有人介绍爱多美丽祛斑 就是要搽药液的 连续搽一个月不洗脸 这个你有听说吗,,祛斑
A5015660005443058,问一下皮秒只针对祛斑吗,,祛斑
A7419650000847001,18岁以下怎样去斑？,,祛斑
A8412990008762003,我想问一下如何能淡斑。,,祛斑
A6068820008160001,超皮妙999是全脸么？,,祛斑
A1817780002324002,怎么治疗祛斑不复发？,,祛斑
A6068820011217002,脸上有斑能去掉吗,,祛斑
A6068820009537003,咨询下色素胎记咖啡斑,,祛斑
A5861350004792014,还有斑也可以做吗,,祛斑
A3758610000311002,我问一下祛斑霜效果好不,,祛斑
A9170690003961000,咨询一下祛斑的情况,,祛斑
A1800280000207007,很小就开始长斑了，只是不明显,,祛斑
A5860280007460004,祛斑是怎么做的,,祛斑
A1159720000698002,红霉素软膏可以祛斑吗,,祛斑
A1817780008351006,斑点很黑严重,,祛斑
A9170690005185004,你们医院祛斑是采用什么方法？,,祛斑
A8363010001764001,签约祛斑是指什么？,,祛斑
A1527530006591001,人体上紫色斑点,,祛斑
A2875580014288002,你们那祛斑都是用那些方法,,祛斑
A8330100005627016,和白瓷娃娃祛斑功能有啥不同,,祛斑
A5861350011635003,黑斑怎样袪,,祛斑
A5979500004836051,那你们广告上的祛斑580是什么意思,,祛斑
A5854910008150001,我想快速祛斑！！！你有什么方法吗？？,,祛斑
A4276530008218001,我脸有斑，玻尿酸原液可以解决吗？,,祛斑
A4276530013418004,什么可以去斑,,祛斑
A6658970001022005,全面取斑，怎么个取法？,,祛斑
A8412990003333001,五天去斑色素回流吗？,,祛斑
A5854910006253001,祛斑容易吗？,,祛斑
A6577100007742029,皮秒祛斑现在单次多少钱,,祛斑
A6068820005793001,皮秒祛斑后反黑了，有办法治疗吗,,祛斑
A7419650012019001,想咨询一下皮秒祛斑,,祛斑
A7419650003830009,，。眼部周围有点点斑,,祛斑
A5860280017165004,之前在华美做过一次镭射净肤，现在斑长出来了。现在该做哪一个项目达到祛斑效果呢,,祛斑
A4276530004527006,之前点过，但是没去得完，说是黑色素，我不懂,,祛斑
A1600310000849003,想了解一下可以做祛斑美容吗,,祛斑
A2875580003987004,我脸上有祛斑  怎么办啊？,,祛斑
A2860740001283004,我已五十三岁了，脸上有两个黑斑，怎么去掉,,祛斑
A8412990009132002,脸受伤留下黑斑可以弄吗,,祛斑
A9170690012949024,去斑项目366包括什么,,祛斑
A6068820012812015,我想了解下皮秒平扫脸有什么功效？,,祛斑
A5854910001443018,过两天看斑怎么样,,祛斑
A5854910005403002,脸上有斑，想去除,,祛斑
A5854910017231002,脸上的黑斑能消除吗？,,祛斑
A2875580012836001,为什么老人都有黑斑。,,祛斑
A5731100000750001,你好，可以帮我妈妈和我去掉脸上的斑吗？,,祛斑
A5861350004338033,不可以用祛斑的吗,,祛斑
A1817780016782003,30岁脸色有点斑，咨询一下老师,,祛斑
A8839580001964001,祛斑的是什么类型的激光,,祛斑
A1850300000270007,没有，但是我想祛斑，不知道会不会反弹,,祛斑
A9170690003857014,帮我看看是什么斑,,祛斑
A5854910005164009,另有一个像半个硬币大的白斑有八年了，想修复下,,祛斑
A5015660009060003,请问祛斑是什么方法治疗,,祛斑
A1817780012589023,你们这边祛斑呢,,祛斑
A5860280015689001,你好，我想咨询祛斑方面的,,祛斑
A1850300000048001,可以做斑点吗,,祛斑
A2860740007075003,眼睛下面是什么斑？,,祛斑
A2860740007070025,用的是祛斑面膜。和祛斑洗面奶,,祛斑
A3996870002420003,有个780的祛斑的可以全脸做嘛？,,祛斑
A5854910001926014,眼周灰褐色色素沉着,,祛斑
A4276530017973009,我有散斑，主要是做什么好呢,,祛斑
A5861350002932003,十岁女孩子脸上长斑怎么治,,祛斑
A5854910002790002,就是脸上麻子问题,,祛斑
A5860280014882010,有一些角质老化斑,,祛斑
A4276530003395001,医院去斑要多少钱,,祛斑
A2773850001618020,我脸上不明显的斑,,祛斑
A5731100001418001,你好，我想问下激光祛斑和光子祛斑哪个好,,祛斑
A6068820006917001,你家祛斑是药物提取的吗,,祛斑
A3991420000531002,我想咨询一下祛斑的,,祛斑
A4276530016894003,你们那个祛斑卡1314是什么的？,,祛斑
A2860740007588010,这不是什么斑就点哪个进来的吗,,祛斑
A2860740009899010,不是长斑吗，,,祛斑
A7419650009903016,我这是属于什么斑呢,,祛斑
A9170690008356000,激光祛斑和药水祛斑哪个效果好呢,,祛斑
A2875580002345001,想问一下怎么样简单去斑,,祛斑
A4276530014081002,有没有除斑点的,,祛斑
A6068820006457001,遗传斑能去除吗,,祛斑
A2367960005561002,遗传性的斑可以去掉吗？,,祛斑
A8839580000288009,遗传斑不是好难治吗，跟血液有关,,祛斑
A5860280013989002,请问你们的去斑有哪几种,,祛斑
A7419650011233016,后来才有，这个也是属于斑的一种吗？,,祛斑
A8911670006178001,想了解一下去斑的,,祛斑
A3758610000722008,你们祛斑体验是全脸吗,,祛斑
A5854910016709014,那你们现在是用什么祛斑呢？,,祛斑
A2367960003145016,去斑有没有什么更简单的方法？不要用仪器的。,,祛斑
A5860280006327005,我自己有斑，自己做店，如何嫁接微整,,祛斑
A2367960002747002,你好？激光祛斑会反弹吗？,,祛斑
A7261990005220001,我今年47岁手上脚上都长出有那个一点一点的小班,,祛斑
A1159720001165002,额头，眼周围长斑是什么情况？,,祛斑
A6658970000218017,嗯嗯，那个斑点黑色素能从脸部排出吗,,祛斑
A5854910002250003,我脸上有很多斑,,祛斑
A1800280001177002,你好我想咨询下祛斑,,祛斑
A9002340008099000,角质层薄刻意直接祛斑吗,,祛斑
A1159720003891002,脸上有一个斑是什么斑，在颧骨上,,祛斑
A5998600000416001,有什么方法可以祛斑,,祛斑
A2860740000501003,眼角长的斑是什么斑呢,,祛斑
A5283910000674003,激光真的可以祛除斑点吗,,祛斑
A1800280000194003,是祛斑？,,祛斑
A6068820008237008,皮秒可以去除吗,,祛斑
A2860740000812003,有三四年了脸上长了两班不知怎么治疗才会好,,祛斑
A4276530011068004,我想激光去斑,,祛斑
A5861350007733005,脸上有黑色斑点怎么办,,祛斑
A2367960004510028,暗沉，色癍能改善吗，,,祛斑
A7419650010127001,我53岁手上脸上有大小斑要用什么方法能祛吗,,祛斑
A5015660004883008,主要就是黑色素沉淀的,,祛斑
A3226050000313001,怎样能去掉脸上的斑点,,祛斑
A7830660003165017,就是说用激光祛斑,,祛斑
A2875580000098017,有斑的地方还是又开始长斑了,,祛斑
A8881750000615001,脸上的斑可以点吗,,祛斑
A6068820015443002,我想打斑？,,祛斑
A1817780007765008,脸颊有一些斑点,,祛斑
A5854910012848002,我是半边脸有斑点,,祛斑
A2367960002489001,脸上的斑点能去掉吗,,祛斑
A6068820004693001,想问下激光皮秒多少钱,,祛斑
A1817780003081003,能看出是斑吗,,祛斑
A8911670003766019,斑点也有点,,祛斑
A1817780003603002,13600778286去癍价格咨询,,祛斑
A8363010001469065,也能治班吗,,祛斑
A2875580001313004,肤色、斑点,,祛斑
A2875580014368001,我想了解一下，激光祛斑会反弹吗,,祛斑
A6658970003450001,"我想咨询""苗和堂美白祛斑霜""",,祛斑
A8911670003044001,你好怎么祛斑，,,祛斑
A5861350001464004,青少年这个年纪祛斑可以吗,,祛斑
An,友协斑点,,祛斑
A6068820015420017,他这斑点就最近2年才有的,,祛斑
A2875580003031001,我的斑是长在脸瑕，鼻子两边，属于什么斑啊,,祛斑
A9170690004272004,我想祛斑，,,祛斑
A5860280009584010,还有那个镭射祛斑和皮秒有什么区别吗？,,祛斑
A2367960005240002,女人脸上长斑怎样去除,,祛斑
A2860740004566014,是吗？可我外婆，我妈妈，我表哥都有这个斑,,祛斑
A9170690000240004,你好我想取斑吧,,祛斑
A8330100001243001,多年前皮肤被油溅   现在有斑怎么除,,祛斑
A2875580017017001,怎样可以淡斑,,祛斑
A5854910018065002,祛斑怎么处理好,,祛斑
A5854910002342001,烫伤色素癍能慢慢消退吗？,,祛斑
A2860740008164004,这是什么斑,,祛斑
A8997980000198001,脸上长斑了怎么治疗,,祛斑
A6068820003722008,我这回想去看看激光祛斑,,祛斑
A2367960004496001,"我想咨询""脸上有黑斑怎么办""",,祛斑
A1527530010429001,308激光可以治疗白斑吗,,祛斑
A2860740007494004,脸上红红的是什么斑啊,,祛斑
A2860740007185023,祛斑不内调吗,,祛斑
A5860280015840005,我想做个祛斑,,祛斑
A9170690007674002,富勒烯去斑真的能去吗,,祛斑
A1817780009251001,祛斑是做激光吗,,祛斑
A5015660007125001,如何去除淡斑？,,祛斑
A1800280000877011,哪种治疗可以完全去斑,,祛斑
A4276530014948003,我想问去了斑会反弹么,,祛斑
A2860740004750004,为什么脸上的斑越长越多,,祛斑
A9170690007353000,请问我的胳膊上长斑怎么祛除?,,祛斑
A5854910010125001,我想做皮秒去斑,,祛斑
A5015660012545002,我想淡斑,,祛斑
A5854910000501004,生物酶去斑有吗？,,祛斑
A8412990000932004,请问下这是什么斑呢,,祛斑
A8881750000177001,想做复合彩光祛斑,,祛斑
A5854910016069006,我想问一下从小长的斑点也不是很多能去吗,,祛斑
A6068820000582001,想去斑 价格和效果怎么样？,,祛斑
A2875580005948000,你好 请问我嘴角两边的黑斑可以去掉吗？,,祛斑
A5015660005373009,长斑给身体有关系吗,,祛斑
A4276530003568004,之前做祛斑的形成的,,祛斑
A2367960004297002,我女儿八岁左右开始长斑点，现15岁脸上长了好的斑点，能去掉斑点吗？,,祛斑
A2875580010327001,请问一下有什么方法可以快速祛斑的呢,,祛斑
A8330100000707001,我眼睛边就最近两个月长了两块斑怎么治,,祛斑
A5860280012023002,我想问下这个赛皮秒活动我星期天来付款还是不是这个980的价钱,,祛斑
A1159720000128002,如何治好脸上的痣,,点痣
A7419650000695001,去痣去得掉吗,,点痣
A2860740004526003,点痣的增生能去吗？,,点痣
A8330100005649004,你们这里可以点痣嘛？,,点痣
A6068820003177001,咨询一下点痣的问题,,点痣
A7261990000499002,医院可以点痣么,,点痣
A6708030001605003,想了解除痣,,点痣
A2860740009386019,请问肉痣又是什么意思呢,,点痣
A2875580015028000,我想问一下，可以取痣吗？,,点痣
A5015660012281000,头上有痣能除掉吗,,点痣
A9170690010472016,黑痣能点嘛,,点痣
A5854910016538002,我脖子和脸上有痣能去掉吗？,,点痣
A9170690004326004,这边可以点痣吗,,点痣
A6577100001369003,祛痣有好处吗,,点痣
A7419650012948003,凸起的痣能点吗？,,点痣
A2860740004221003,肉痣能点吗,,点痣
A8881750006315002,褐青色痣如何治疗？,,点痣
A2860740007327004,我脸上有个肉痣,,点痣
A7261990004881002,你好，我想问一下激光点痣后要怎么护理,,点痣
A5015660002532003,大痣能去吗,,点痣
A2860740005752005,请问 怎样去掉脸上的黑痣,,点痣
A5854910014565001,未满十八可以点痣嘛,,点痣
An,这就是所说的激光祛痣么按,,点痣
A8530000002881029,袪痣很快的是？,,点痣
A4276530005561001,怎样去除黑痣？,,点痣
A5015660008636001,长在嘴唇上的痣可以点吗？,,点痣
A7261990000609003,你们除去脸上的痣采用什么方法呀,,点痣
A4276530003030001,有什么去痣的好方法￼,,点痣
A5015660011189002,有手术切除痣吗,,点痣
A2259130006727004,太田痣可以治吗,,点痣
A2860740001567003,右眼角有痣代表什么,,点痣
A9963270000302004,色素痣也有，肉痣也有,,点痣
A4276530003966004,我孩子嘴角有颗胎痣想除掉,,点痣
